Unique_Name,Unique_RA,Unique_DEC,Name_RK,RAJ2000_RK,DEJ2000_RK, Type1_RK, Type2_RK, mag1_RK, Orb_Per_RK, Distance_RK, 5%_RK, 95%_RK, Name_DS, RAJ2000_DS, DEJ2000_DS, PM-RA_DS, PM-RAerr_DS, PM-Dec_DS, PM-Decerr_DS, Epoch_DS, l_DS, b_DS, Type_DS, Period_DS, Outburst_DS, Cluster_DS, Mag. Range_DS, Coord-Ref_DS, PM-Ref_DS, Type-Ref_DS, Chart-Ref_DS, Spect-Ref_DS, Period-Ref_DS, Other-Name_DS, IUE_DS, HST_DS, ARIEL5_DS, HEAO1_DS, HEAO2_DS, EXOSAT_DS, ROSAT_DS, GINGA_DS, ASCA_DS, EUVE_DS, Same_Name, Link_Name_SIMBAD, Link_Coord_SIMBAD
BE Oct,00 00 48.9371054411,-77 18 57.782359239,BE Oct,00 00 48.8,-77 18 57, DN, SU, 18.96, 0.074700, 2284.78, 939.20, 2887.27, BE Oct, 00 00 48.97, -77 18 57.6, , , , , ,307,-39, ugsu, , , , 15.0V-19.4V, ICRS, , 1996-32, 1963-03*, 2003-15S, *, S 6633, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=BE Oct,
EF Tuc,00 01 55.1033419416,-67 07 43.332898506,EF Tuc,00 01 55.0,-67 07 44, DN,   , 14.75, 0.150000, 1395.42, 71.22, 81.93, EF Tuc, 00 01 55.10, -67 07 43.3, 0.0128, 0.0058, -0.0047, 0.0058,2000,310,-49, ug,145, , , 12.4I-14.6I, 2004-105, 2004-105, 2002-120, A9999-99, 2001-56S, 2003-87, 1RXS J0001-6707, , , , , , , Y, , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=EF Tuc,
V402 And,00 11 07.3,+30 32 36,V402 And,00 11 07.3,+30 32 36, DN, SU, 20.13, 0.062100, 2262.87, 1623.01, 4550.96, V402 And, 00 11 07.3, +30 32 36., , , , , ,113,-32, ugsu, , , , 15.5p-20.3B, 1998-22, , 2000-49, 1998-22, , *, Antipin V62, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V402 And,
WW Cet,00 11 24.7725920913,-11 28 43.204274910,WW Cet,00 11 24.8,-11 28 43, DN, ZC, 13.55, 0.175800, 218.12, 3.70, 3.59, WW Cet, 00 11 24.77, -11 28 43.2, 0.0126, 0.0014,9, 0.0032,2000,90,-71, ugz:, 0.1758, , , 9.3V-15.7V, 2004-105, 2004-105, 1987-20, 1982-03, 1983-12S, 1996-68, HV 8002/PHL 718, Y, , , Y, Y, Y, Y, , Y, ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=WW Cet,
V513 Cas,00 18 14.9155201336,+66 18 13.654082548,V513 Cas,00 18 14.9,+66 18 14, DN, ZC, 15.78, 0.217000, 849.16, 51.75, 56.48, V513 Cas, 00 18 14.90, +66 18 13.5, 0.0011,5, -0.0071,5,2000,120,3, ugZ:, , , , 15.5p-<17.2p, 2004-106, 2004-106, 1987-04/T00000, 1987-04*, 1999-08X, , MacC v4, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V513 Cas,
QR And,00 19 49.9252841335,+21 56 52.166609264,QR And,00 19 49.8,+21 56 53, SS, IP, 12.24, 0.660465, 2049.78, 263.07, 367.85, QR And, 00 19 49.93, +21 56 52.1, 0.0184, 0.0013,-6, 0.0013,2000,113,-40, cbss, 0.660465, , , 12.2V-, 2004-105, 2004-105, 1995-71, 1995-70, 1995-71S, 2001-89, RX J0019.8+2156, , Y, , , , , Y, , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=QR And,
V592 Cas,00 20 52.2230642582,+55 42 16.233043666,V592 Cas,00 20 52.2,+55 42 17, UX, SH, 12.65, 0.115063, 455.81, 11.36, 11.79, V592 Cas, 00 20 52.24, +55 42 16.2, -0.0137,4, -0.0039, 0.0041,2000,119,-6, ux, 0.115063, , , 12.8V- , 2000-110, 2000-110, 1989-16, A00001, 1994-07S, 1998-71, LS I +55 08, Y, , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V592 Cas,
CM Phe,00 21 33.1735182987,-51 42 34.646504131,CM Phe,00 21 33.1,-51 42 34, NL,   , 15.40, 0.268900, 315.30, 6.15, 6.42, CM Phe, 00 21 33.17, -51 42 34.8, 0.0071, 0.0053, -0.0108, 0.0053,2000,314,-65, nl?/cv, 0.2689, , , 15.3V- , 2004-105, 2004-105, 1989-16/1995-16, 1969-03, 1998-13S, 2002-38, Phe1/JL 181, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=CM Phe,
EN Cet,00 27 28.0195819967,-01 08 28.655943928,EN Cet,00 27 28.0,-01 08 28, DN,   ,  nan, 0.059330, nan, nan, nan, EN Cet, 00 27 28.01, -01 08 28.5, 0.00801, 0.0039, -0.00613, 0.00389,2002677,109,-63, cv/ug:, , , , 14.5R-<18.5R, 2006-22, 2006-22, 1997-12, 1998-20, 1998-20X, , BAO 04, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=EN Cet,
V709 Cas,00 28 48.8268573576,+59 17 22.032796584,V709 Cas,00 28 48.9,+59 17 22, NL, IP, 14.37, 0.222204, 747.74, 19.12, 19.20, V709 Cas, 00 28 48.84, +59 17 22.3, 0.0011,5, 0.0083,5,2000,120,-3, dq, 0.2225, , , 14.8B-15.4B, 2004-106, 2004-106, 1996-09, 1996-09, 1996-09S, 2001-36, Cas2,  RX J0028+5917, , Y, Y, Y, , , Y, , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V709 Cas,
PX And,00 30 05.8083590217,+26 17 26.438854924,PX And,00 30 05.8,+26 17 27, NL, SW, 14.85, 0.146353, 815.45, 43.80, 51.40, PX And, 00 30 05.81, +26 17 26.5,-11, 0.0027, -0.0112, 0.0026,2000,117,-36, nl/vy, 0.146353, , , 15.0V-17.0V, 2004-105, 2004-105, 1992-32/1994-49, 1982-06, 1991-02S, 2002-131, And1,  PG 0027+260, Y, , , , , Y, Y, , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=PX And,
KP Cas,00 38 54.7954770131,+61 13 00.016198123,KP Cas,00 38 54.8,+61 13 00, DN, SU, 19.07, 0.081400, 602.95, 124.21, 216.28, KP Cas, 00 38 54.78, +61 13 00.2,12,4,0,3,2000,121,-1, UGSS, , , , 15.2p-20p, 2003-115, 2003-115, T00000, 2000-30*, , , S 3865, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=KP Cas,
PT And,00 40 24.28,+41 04 03.5,PT And,00 40 24.4,+41 04 03, DN, SU,  nan, 0.056000, nan, nan, nan, PT And, 00 40 24.35, +41 04 03.1, , , , , ,121,-22, ug/rn, , , , 16.3B-<22.B, ICRS*, , 2000-56, 2000-56*, , , Rosino N 15, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=PT And,
HV And,00 40 55.34,+43 24 59.3,HV And,00 40 55.3,+43 24 59, NL, SH, 15.78, 0.055990, 1647.42, 313.87, 521.37, HV And, 00 40 55.41, +43 24 59.4, 0.0112,5, -0.0111,5,2000,121,-19, nl, 0.05599, , , 15.2B-16.8B, 1987-28, 1987-28, 1995-41, 1975-05, 1992-09S, 1985-22, S 10777, , Y, , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=HV And,
LL And,00 41 51.47,+26 37 20.9,LL And,00 41 51.5,+26 37 21, DN, SU, 20.14, 0.055055, 2270.94, 1538.70, 4346.20, LL And, 00 41 51.46, +26 37 21.3,6,1, -0.01,3,2000,120,-36, ugsu, 0.055055, , , 13.8V-20.0V, 2003-115, 2003-115, 1994-33, 1996-13, 1996-13X, 2003-81, , , Y, , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=LL And,
GX Cas,00 49 01.5032436110,+56 52 43.582373008,GX Cas,00 49 01.5,+56 52 45, DN, SU, 18.26, 0.089000, 388.08, 50.06, 67.84, GX Cas, 00 49 01.55, +56 52 44.1, 0.0122,5, -0.0067,5,2000,123,-5, ugsu,89, , , 13.3V-18.5V, 2004-106, 2004-106, 1994-39, 1957-02, 2000-01S, 2003-81, S 3330, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=GX Cas,
V452 Cas,00 52 18.0062985216,+53 51 50.149290370,V452 Cas,00 52 18.1,+53 51 50, DN, SU, 18.55, 0.085700, 1015.30, 300.80, 642.09, V452 Cas, 00 52 18.06, +53 51 50.1, , , , , ,123,-9, ugsu, , , , 14.5V-18.7V, ICRS, , 1999-54, 1996-36*, 2000-01S, *, S 10453, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V452 Cas,
IW And,01 01 08.9069821068,+43 23 25.791261612,IW And,01 01 08.9,+43 23 26, DN, ZC, 15.05, 0.155000, 851.27, 84.91, 105.22, IW And, 01 01 08.91, +43 23 25.8,1, 0.0054, -0.0047, 0.0054,2000,125,-19, ugz, , , , 14.2p-17.4p, 2004-105, 2004-105, 2003-14, 1975-05, 1999-08X, , S 10792, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=IW And,
RX And,01 04 35.5373041151,+41 17 57.783687786,RX And,01 04 35.6,+41 17 58, DN, ZC, 13.17, 0.209893, 199.06, 3.26, 3.40, RX And, 01 04 35.54, +41 17 57.8, 0.0022, 0.0007, -0.0225, 0.0011,2000,126,-21, ugz, 0.209893, , , 10.9v-12.6v, 2004-105, 2004-105, 1987-20, 1983-12, 1983-12S, 1989-21, 1E 0101+4101, Y, Y, , , Y, , Y, , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=RX And,
V723 Cas,01 05 05.3607495884,+54 00 40.237067501,V723 Cas,01 05 05.4,+54 00 41, Nb,   , 15.50, 0.693277, 6542.84, 1885.65, 3510.25, V723 Cas, 01 05 05.37, +54 00 40.5, , , , , ,125,-9, nb, 0.693265, 1995.65, , 7.1V-<18V, 1995-25, , 1995-25, 1998-77, 1998-16X, 2002-128, , Y, Y, , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V723 Cas,
HT Cas,01 10 13.1213309510,+60 04 35.489284826,HT Cas,01 10 13.0,+60 04 36, DN, SU, 16.35, 0.073647, 141.45, 2.13, 2.09, HT Cas, 01 10 13.12, +60 04 35.7, 0.0278,5, -0.0097,5,2000,125,-2, ugsu, 0.073647, , , 10.8v-18.4v, 2004-106, 2004-106, 1987-20, 1983-12, 1983-12S, 1991-32, S 3343, Y, Y, , , Y, Y, Y, , Y, ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=HT Cas,
FO And,01 15 32.1564359017,+37 37 35.560818765,FO And,01 15 32.1,+37 37 36, DN, SU, 17.98, 0.071610, 616.26, 82.28, 116.18, FO And, 01 15 32.14, +37 37 35.6,24,7,-4,6,2000,128,-25, ugsu, 0.07161, , , 13.5v-17.5v, 2003-115, 2003-115, 1995-41, 1987-04*, 1989-06S, 1996-73, S 9508, , , , , , , Y, , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=FO And,
WX Cet,01 17 04.17,-17 56 23.0,WX Cet,01 17 04.2,-17 56 23, DN, SU, 18.14, 0.058261, 265.03, 16.98, 20.02, WX Cet, 01 17 04.18, -17 56 22.6, -0.01,3,0,5,2000,157,-79, ugwz, 0.05829, , , 9.5V-18.5V, 2003-115, 2003-115, 1987-08, 1987-08, 1981-03S, 2003-81, BV 416, Y, Y, , , , , Y, , , Y,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=WX Cet,
TY Psc,01 25 39.3571482315,+32 23 08.895318080,TY Psc,01 25 39.4,+32 23 10, DN, SU, 16.87, 0.068330, 261.67, 10.78, 11.61, TY Psc, 01 25 39.38, +32 23 09.1, 0.0118,5, -0.0333,5,2000,131,-30, ugsu, 0.06833, , , 11.7V-16.3V, 1987-28, 1987-28, 1987-20, 1987-04, 1985-07S, 1996-54, S 10900, , Y, , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TY Psc,
EQ Cet,01 28 52.5444761914,-23 39 43.961138249,EQ Cet,01 28 52.5,-23 39 43, NL, AM, 17.34, 0.064455, 285.98, 13.86, 15.56, EQ Cet, 01 28 52.52, -23 39 43.8, 0.0394, 0.0039, -0.0385, 0.0047, 1991.25,193,-81, am, 0.064455, , , 17.5V-18.9V, 2004-109, 2004-109, 2000-29, 1999-87, 1999-87S, 2002-102, 1RXS J012852-233931, , , , , , , Y, , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=EQ Cet,
TT Tri,01 31 59.8601931735,+29 49 22.059569425,TT Tri,01 31 59.7,+29 49 22, NL, UX, 15.43, 0.139637, 552.90, 22.36, 24.68, TT Tri, 01 31 59.86, +29 49 22.1, 0.0065, 0.0056, -0.0054, 0.0056,2000,133,-32, cv/nl, 0.1396, , , 14.7p-16.7p, 2004-105, 2004-105, 2005-09, 1978-07, , 2005-09, GR 286,  HS 0129+2933, , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TT Tri,
CV Hyi,01 32 43.38,-65 54 37.3,CV Hyi,01 32 42.0,-65 54 32, NL, AM, 20.19, 0.054049, 2556.64, 1809.08, 4583.11, CV Hyi, 01 32 42.07, -65 54 32.5, , , , , ,296,-51, am, 0.054049, , , 19.7V- , ICRS, , 1997-06, 1997-06, 1997-06S, 1997-06, RX J0132.7-6554, , , , , , , Y, , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=CV Hyi,
TW Tri,01 36 37.0049069661,+32 00 40.026528716,TW Tri,01 36 37.0,+32 00 40, DN, UG, 16.23, 0.207584, 731.04, 55.73, 71.06, TW Tri, 01 36 37.01, +32 00 40.0, 0.0081, 0.0056,2, 0.0056,2000,134,-30, cv/UGZ, 0.207584, , , 13.3p-17.0p, 2004-105, 2004-105, 1994-07/T00000, 1978-06, 1994-07S, 1998-72, GR 292/SVS 2288, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TW Tri,
AY Psc,01 36 55.4597220842,+07 16 29.273237337,AY Psc,01 36 55.4,+07 16 30, DN, ZC, 15.91, 0.217321, 752.27, 46.93, 49.66, AY Psc, 01 36 55.46, +07 16 29.3, 0.0155, 0.0057, -0.0052, 0.0054,2000,142,-54, ugz, 0.217321, , , 15.3V-17.0V, 2004-105, 2004-105, 2002-123, 1982-06, 1993-02S, 1990-34, NSV 564,  PG 0134+070, , , , , , Y, , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=AY Psc,
KT Per,01 37 08.7947323898,+50 57 20.396805365,KT Per,01 37 08.7,+50 57 20, DN, UG, 14.54, 0.162658, 242.27, 4.93, 5.55, KT Per, 01 37 08.79, +50 57 20.4, 0.0631,1, -0.0051, 0.0009,2000,130,-11, ugz, 0.162658, , , 10.6V-16.1V, 2004-105, 2004-105, 1987-20, 1983-12, 1983-12S, 1999-62, GR 91, Y, , , , , Y, , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=KT Per,
TU Tri,01 39 15.3268890108,+31 24 19.237528339,TU Tri,01 39 15.3,+31 24 19, DN, SU, 18.05, 0.072400, 897.83, 165.82, 280.75, TU Tri, 01 39 15.74, +31 24 15.1, , , , , ,135,-30, ug, , , , 14.8p-18.9V, 2005-126, , 1991-25*, 2005-126, , *, GR 287, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TU Tri,
BL Hyi,01 41 00.3995669445,-67 53 27.469105974,BL Hyi,01 41 00.3,-67 53 28, NL, AM, 17.25, 0.078915, 130.73, 1.94, 2.12, BL Hyi, 01 41 00.24, -67 53 28.4, , , , , ,296,-49, am, 0.078915, , , 14.3V-17.4V, ICRS, , 1984-15, 1982-20, 1986-07S, 1989-24, H 0139-68, Y, Y, , Y, Y, Y, Y, , Y, Y,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=BL Hyi,
AR And,01 45 03.2725931249,+37 56 33.240837624,AR And,01 45 03.3,+37 56 33, DN, UG, 16.32, 0.163000, 450.20, 50.22, 63.48, AR And, 01 45 03.28, +37 56 32.7, 0.0091,5, -0.0207,5,2000,134,-23, ug,163, , , 11.0V-17.6V, 1987-28, 1987-28, 1995-41, 1983-12, 1983-12S, 1996-71, Ross 346, Y, , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=AR And,
ES Cet,02 00 52.2360462965,-09 24 31.645113651,ES Cet,02 00 52.2,-09 24 32, AC, NL, 16.86, 0.007178, 1841.91, 467.24, 885.21, ES Cet, 02 00 52.24, -09 24 31.6, 0.01698, 0.0039, -0.00143, 0.00389,2000735,169,-66, ibwd, 0.007178, , , 17.1V- , 2006-22, 2006-22, 2002-11, 1984-12, 1987-02S, 2003-97 , KUV 01584-0939, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=ES Cet,
V  Per,02 01 53.74,+56 44 04.1,V  Per,02 01 53.9,+56 44 04, N , NL, 18.14, 0.107123, 4940.77, 2132.01, 4471.38, V Per, 02 01 53.92, +56 44 03.5, , , , , ,133,-5, n, 0.107126, 1887.97, , 9.2p-18.5p, ICRS, , 1987-08, 1987-08, 1989-03S, 2002-127, BD +56 406a, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V  Per,
AI Tri,02 03 48.6152251668,+29 59 25.898735063,AI Tri,02 03 48.6,+29 59 26, NL, AM, 15.85, 0.191746, 560.36, 30.58, 34.47, AI Tri, 02 03 48.60, +29 59 26.0, -0.0082, 0.0057, -0.0189, 0.0057,2000,141,-30, am, 0.191745, , , 15.5V-18V, 2004-105, 2004-105, 1998-17, 1998-17, 1998-17S, 1998-17, RX J0203.8+2959, , , , , , , Y, , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=AI Tri,
BO Cet,02 06 39.2728779551,-02 03 42.590321045,BO Cet,02 06 39.2,-02 03 43, NL, SW, 14.37, 0.139800, 521.09, 16.08, 16.63, BO Cet, 02 06 39.27, -02 03 42.5, -0.0029,5, -0.0085,5,2000,162,-59, nl, 0.1398, , , 14.4V-15.4V, 1987-28, 1987-28, 1990-25, 1990-25, 1995-07S, 2002-98, Cet4,  1H 0204-023, , , , Y, , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=BO Cet,
TT Ari,02 06 53.0797667881,+15 17 41.849759579,TT Ari,02 06 53.1,+15 17 43, VY, SW, 10.92, 0.137550, 257.86, 7.57, 8.20, TT Ari, 02 06 53.09, +15 17 41.8, -0.0065, 0.0014, -0.0295, 0.0013,2000,149,-43, vy/dq:, 0.13755, , , 9.5v-14.5v, 2000-110*, 2000-110, 1995-32/1994-46, 1983-12*, 1983-12S, 2002-132, BD +14 341, Y, Y, , Y, Y, Y, Y, , Y, Y,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TT Ari,
WX Hyi,02 09 50.8239743875,-63 18 39.830688329,WX Hyi,02 09 50.7,-63 18 40, DN, SU, 14.63, 0.074813, 234.06, 2.62, 2.69, WX Hyi, 02 09 50.83, -63 18 39.9, 0.0363, 0.0061, 0.0163, 0.0056,2000,289,-51, ugsu, 0.074813, , , 11.4V-14.8V, 2004-105, 2004-105, 1987-20, 1982-03, 1983-14S, 1981-20, HV 8016, Y, Y, , , Y, Y, Y, , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=WX Hyi,
UV Per,02 10 08.2724810517,+57 11 20.870511174,UV Per,02 10 08.3,+57 11 21, DN, SU, 17.93, 0.064900, 252.03, 13.09, 15.61, UV Per, 02 10 08.32, +57 11 21.2, 0.0434,5, 0.0321,5,2000,133,-4, ugsu, 0.0649, , , 11.7V-17.9V, 2004-106, 2004-106, 1995-41, 1987-04, 1985-07S, 1997-38, 87.1911, Y, Y, , , , , Y, , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=UV Per,
TZ Per,02 13 50.9628232047,+58 22 52.309133551,TZ Per,02 13 51.0,+58 22 53, DN, ZC, 13.37, 0.262906, 478.21, 9.41, 9.87, TZ Per, 02 13 50.91, +58 22 51.9, -0.0138,3, -0.0122,3, 1983.84,134,-3, ugz, 0.262906, , , 12.3v-15.6v, 1999-103, 1999-103, 1987-20, 1988-08, 1994-07S, 1999-62, 28.1912, Y, Y, , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TZ Per,
KV And,02 17 13.81,+40 41 30.8,KV And,02 17 13.8,+40 41 31, DN, SU, 19.94, 0.073300, 2909.57, 2104.28, 4507.40, KV And, 02 17 13.87, +40 41 29.7,-2,2,-14,2,2000,140,-19, ugsu, 0.0733, , , 14.6p-22.5p, 2003-115, 2003-115, 1994-41, 1977-08, , 2003-81, SVS 2205, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=KV And,
LX And,02 19 44.0899770654,+40 27 22.333965884,LX And,02 19 44.1,+40 27 22, DN, UG, 15.73, 0.150974, 541.14, 31.69, 35.97, LX And, 02 19 44.09, +40 27 22.3, -0.0041, 0.0059, -0.0088, 0.0059,2000,141,-19, ug, , , , 13.5p-16.4p, 2004-105, 2004-105, 1999-52, 1982-16, , , RRV-3, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=LX And,
WY Tri,02 25 00.47,+32 59 55.8,WY Tri,02 25 00.5,+32 59 56, DN, SU, 17.63, 0.075900, 497.19, 50.10, 59.55, WY Tri, 02 25 00.48, +32 59 56.1,-12,0,-8,4,2000,145,-26, ugsu, , , , 13.8p-19.1V, 2003-115, 2003-115, 2001-08, 1986-14, 2000-01S, *, S 10919, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=WY Tri,
RW Tri,02 25 36.1555561414,+28 05 50.893091344,RW Tri,02 25 36.1,+28 05 51, NL, UX, 13.35, 0.231883, 315.46, 7.72, 7.66, RW Tri, 02 25 36.16, +28 05 50.9, 0.0229, 0.0026, -0.0206, 0.0023,2000,147,-30, ux, 0.231883, , , 12.6V-15.6V, 2004-105, 2004-105, 1995-41, 1983-12, 1983-12S, 1991-35, 5.1938, Y, Y, , , , , Y, , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=RW Tri,
AM Cas,02 26 23.3508133676,+71 18 31.618402316,AM Cas,02 26 23.4,+71 18 32, DN, UG, 14.45, 0.165200, 434.45, 7.74, 7.97, AM Cas, 02 26 23.45, +71 18 31.4, -0.0003,3, -0.0077,3,2000,130,9, ugz, 0.1652, , , 12.3p-15.2p, 1999-103, 1999-103, 1984-14, 1976-07, 1995-18S, 2002-19, 258.1928, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=AM Cas,
PQ And,02 29 29.5674908029,+40 02 39.816740823,PQ And,02 29 29.5,+40 02 39, DN, SU, 19.06, 0.056000, 267.02, 45.97, 72.52, PQ And, 02 29 29.54, +40 02 40.2,34,6,24,4,2000,143,-19, nr/ug, , 1988.22, , 10.1v-19V, 2003-115, 2003-115, 1990-26, 1990-26, 1988-05X:, *, TAV 0226+39, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=PQ And,
WW Hor,02 36 11.45,-52 19 13.5,WW Hor,02 36 11.5,-52 19 14, NL, AM, 19.49, 0.080199, 336.34, 45.62, 64.53, WW Hor, 02 36 11.39, -52 19 13.4, , , , , ,272,-58, am, 0.080199, , , 17.6V-21.6V, ICRS, , 1995-41, 1987-06, 1987-06S, 2002-134, EXO 023432-5232.3, , , , , , Y, Y, , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=WW Hor,
PU Per,02 42 16.16,+35 40 46.6,PU Per,02 42 16.1,+35 40 46, DN, SU,  nan, 0.067000, nan, nan, nan, PU Per, 02 42 16.14, +35 40 47.4,14,0,4,11,2000,147,-22, ugwz, , , , 15.2V-<20.V, 2003-115, 2003-115, 1995-31, 1995-31, 1978-03S:, *, S 9727, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=PU Per,
PV Per,02 42 53.4034529327,+38 04 03.299011716,PV Per,02 42 53.5,+38 04 04, DN, SU, 18.87, 0.078100, 2771.27, 1596.50, 4282.00, PV Per, 02 42 53.47, +38 04 03.3, , , , , ,146,-20, ugsu, , , , 14.9p-19.8V, ICRS, , 1996-50, 1987-04, 1997-07S, *, S 9728, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=PV Per,
UW Tri,02 45 17.29,+33 31 26.3,UW Tri,02 45 17.3,+33 31 26, DN, SU,  nan, 0.053340, nan, nan, nan, UW Tri, 02 45 17.29, +33 31 26.3, , , , , ,149,-24, ugwz, , 1983.70, , 14.7p-22.6B, 2000-28, , 2001-27, 2000-28*, , *, SVS 2558, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=UW Tri,
RU Hor,02 46 07.4997231238,-63 35 46.264828062,RU Hor,02 46 07.5,-63 35 47, DN, SU, 19.98, 0.069200, 921.69, 421.81, 2476.31, RU Hor, 02 46 07.50, -63 35 46.0, , , , , ,284,-49, ugss, , , , 13.9p-17.5p, ICRS, , 1982-03, 1982-03, , *, HV 11902, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=RU Hor,
V368 Per,02 47 32.70,+34 58 27.4,V368 Per,02 47 32.6,+34 58 28, DN, SU, 20.23, 0.076000, -0.78, 0.02, 0.02, V368 Per, 02 47 32.59, +34 58 28.0,-4,4,-4,0,2000,148,-22, ugZ:, , , , 15.2p-<17.5p, 2003-115, 2003-115, 1987-04/T00000, 1987-04, , , S 10510, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V368 Per,
WX Ari,02 47 36.2221981356,+10 35 37.723110379,WX Ari,02 47 36.2,+10 35 39, NL, UX, 17.97, 0.139351, 698.39, 101.71, 138.68, WX Ari, 02 47 36.22, +10 35 37.7, 0.0084, 0.0058, -0.0165,6,2000,164,-43, ux, 0.139351, , , 15.3V-15.8V, 2004-105, 2004-105, 1995-41, 1982-06, 1992-15S, 2000-105, PG 0244+104, Y, , , , , , Y, , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=WX Ari,
PY Per,02 50 00.1476660428,+37 39 22.197391211,PY Per,02 50 00.1,+37 39 23, DN, ZC, 15.79, 0.154800, 509.54, 42.90, 51.89, PY Per, 02 50 00., +37 39 22., , , , , ,147,-20, cv/UGZ, 0.1548, , , 13.8V-19.8V, ICRS, , 1994-07/T00000, 1996-36*, 1994-07S, 1996-72, S 9160, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=PY Per,
XY Ari,02 56 08.185,+19 26 34.12,XY Ari,02 56 08.2,+19 26 34, NL, IP,  nan, 0.252697, nan, nan, nan, XY Ari, 02 56 08.1, +19 26 34., , , , , ,159,-34, dq, 0.252697, , , 13.5j-17.6j, 1992-33*, , 1992-33, , , 1996-56, H 0253+193, , , , , Y, , , , Y, ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=XY Ari,
V400 Per,03 07 38.12,+47 07 38.9,V400 Per,03 07 38.3,+47 07 40, Na,   , 19.85, 0.179000, -2.54, 0.02, 0.02, V400 Per, 03 07 38.24, +47 07 40.0,4,6, 0.01,0,2000,146,-10, na, , 1974., , 7.8p-19.5B, 2003-115, 2003-115, 1987-08, 1987-08, 1976-02X, *, , , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V400 Per,
