Unique_Name,Unique_RA,Unique_DEC,Name_RK,RAJ2000_RK,DEJ2000_RK, Type1_RK, Type2_RK, mag1_RK, Orb_Per_RK, Distance_RK, 5%_RK, 95%_RK, Name_DS, RAJ2000_DS, DEJ2000_DS, PM-RA_DS, PM-RAerr_DS, PM-Dec_DS, PM-Decerr_DS, Epoch_DS, l_DS, b_DS, Type_DS, Period_DS, Outburst_DS, Cluster_DS, Mag. Range_DS, Coord-Ref_DS, PM-Ref_DS, Type-Ref_DS, Chart-Ref_DS, Spect-Ref_DS, Period-Ref_DS, Other-Name_DS, IUE_DS, HST_DS, ARIEL5_DS, HEAO1_DS, HEAO2_DS, EXOSAT_DS, ROSAT_DS, GINGA_DS, ASCA_DS, EUVE_DS, Same_Name, Link_Name_SIMBAD, Link_Coord_SIMBAD
FS Sct,18 58 16.91,-05 24 05.1, ,,, , , , , , , , FS Sct, 18 58 16.93, -05 24 05.2,2,5, -0.02,6,2000,29,-4, na:, , 1952.48, , 10.1p-19.3B, 2003-115, 2003-115, 1987-08, 1987-08*, , , , , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=18 58 16.93++-05 24 05.2&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V493 Lyr,19 01 31.4891639287,+42 54 52.922487603, ,,, , , , , , , , V493 Lyr, 19 01 31.49, +42 54 52.5, , , , , ,73,16, ug, , , , 13.2p-<17.2p, ICRS, , 1993-29, 1993-29, 1999-08S, , S 10930, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 01 31.49+++42 54 52.5&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
NSV 24663,19 01 59.5,+13 52 30, ,,, , , , , , , , Aql, 19 01 59.5, +13 52 30., , , , , ,46,4, ug:, , , , 10.6p-17.p, C00005, , 1985-09*, 1987-14*, , , NSV 24663, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 01 59.5+++13 52 30.&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
HD 176779,19 02 06.33,-04 26 43.2, ,,, , , , , , , , V604 Aql, 19 02 06.39, -04 26 43.7,18,1,-12,6,2000,30,-4, na, , 1905.63, , 8.2p-21p, 2003-115, 2003-115, 1987-08, 1994-51, 1906-01X:, , HD 176779, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 02 06.39++-04 26 43.7&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
NOVA Aql 1985,19 02 14.84,+13 03 03.2, ,,, , , , , , , , Aql, 19 02 14.84, +13 03 03.2, , , , , ,46,4, n, , 1985.55, , 10.6p-, 2002-27, , 2002-27, 2002-27*, , , , , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 02 14.84+++13 03 03.2&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
NSV 24667,19 02 56.7,+15 09 41, ,,, , , , , , , , Aql, 19 02 56.7, +15 09 41., , , , , ,48,4, ug:, , , , 10.5p-13.p, C00005, , 1985-09*, 1987-14*, , , NSV 24667, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 02 56.7+++15 09 41.&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
CM Aql,19 03 35.1415731789,-03 03 15.362466392, ,,, , , , , , , , CM Aql, 19 03 35.09, -03 03 15.0, , , , , , , , non-cv, , , , - , , , T00000*, , , , , , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 03 35.09++-03 03 15.0&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
QV Vul,19 04 40.32,+21 46 14.2, ,,, , , , , , , , QV Vul, 19 04 40.29, +21 46 14.1, , , , , ,54,7, na, ,1987, , 7.0v-17.7R, ICRS, , 1987-27, 2000-15, 1994-14X, , , Y, Y, , , , , Y, , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 04 40.29+++21 46 14.1&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
HD 177444,19 05 00.1272382869,-07 08 30.795072880, ,,, , , , , , , , V1440 Aql, 19 05 00.13, -07 08 30.8, 0.0007, 0.0011, -0.0006, 0.0011,2000,28,-6, nl:+ell, , , , 8.6V-, 2000-110, 2000-110, 1999-32, AHD, , , HIP 93724, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 05 00.13++-07 08 30.8&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
NOVA Aql 2005,19 05 12.50,+05 14 12.0, ,,, , , , , , , , V1663 Aql, 19 05 12.50, +05 14 12.0, , , , , ,39,-1, n:, , 2005.44, , 10.5V-, 2005-54, , 2005-55*, A9999-99*, 2005-55X:, , ASAS 190512+0514.2, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 05 12.50+++05 14 12.0&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
