V1059 Sgr,  19 01 50.4,  -13 09 43,  V1059 Sgr,  19 01 50.43,  -13 09 42.5
V426 Oph,  18 07 51.7,  +05 51 49,  V426 Oph,  18 07 51.69,  +05 51 47.8
ST Cha,  10 47 15.6,  -79 28 07,  ST Cha,  10 47 15.61,  -79 28 06.9
V2540 Oph,  17 37 34.4,  -16 23 18,  V2540 Oph,  17 37 34.41,  -16 23 17.9
BY Cir,  14 44 53.6,  -63 53 55,  BY Cir,  14 44 53.46,  -63 53 55.8
V972 Oph,  17 34 44.5,  -28 10 36,  V972 Oph,  17 34 44.48,  -28 10 35.5
V4743 Sgr,  19 01 09.3,  -22 00 06,  V4743 Sgr,  19 01 09.32,  -22 00 06.2
SS Cyg,  21 42 42.7,  +43 35 10,  SS Cyg,  21 42 42.80,  +43 35 09.9
V587 Lyr,  19 17 26.5,  +37 10 41,  V587 Lyr,  19 17 26.46,  +37 10 40.8
BF Eri,  04 39 29.9,  -04 35 59,  BF Eri,  04 39 29.94,  -04 35 58.6
CM Phe,  00 21 33.1,  -51 42 34,  CM Phe,  00 21 33.17,  -51 42 34.8
TT Crt,  11 34 47.2,  -11 45 30,  TT Crt,  11 34 47.17,  -11 45 30.3
EI UMa,  08 38 22.0,  +48 38 02,  EI UMa,  08 38 21.99,  +48 38 02.1
U  Leo,  10 24 03.9,  +14 00 26,  U Leo,  10 24 03.3,  +14 00 11.
HS Pup,  07 53 24.9,  -31 38 50,  HS Pup,  07 53 24.90,  -31 38 50.2
TW Pic,  05 34 50.7,  -58 01 41,  TW Pic,  05 34 50.60,  -58 01 40.7
BV Pup,  07 49 05.3,  -23 34 01,  BV Pup,  07 49 05.26,  -23 34 00.4
TZ Per,  02 13 51.0,  +58 22 53,  TZ Per,  02 13 50.91,  +58 22 51.9
FY Per,  04 41 56.6,  +50 42 36,  FY Per,  04 41 56.63,  +50 42 36.0
AH Her,  16 44 10.0,  +25 15 02,  AH Her,  16 44 10.01,  +25 15 02.0
V1425 Aql,  19 05 26.7,  -01 42 14,  V1425 Aql,  19 05 26.68,  -01 42 14.2
XY Ari,  02 56 08.2,  +19 26 34,  XY Ari,  02 56 08.1,  +19 26 34.
RU LMi,  10 02 07.5,  +33 51 00,  RU LMi,  10 02 07.46,  +33 51 00.3
LL Lyr,  18 35 12.9,  +38 20 04,  LL Lyr,  18 35 12.78,  +38 20 04.7
V1039 Cen,  13 55 41.2,  -64 15 57,  V1039 Cen,  13 55 41.23,  -64 15 57.1
PQ Aql,  19 53 06.6,  +12 59 01,  PQ Aql,  19 53 06.65,  +12 59 00.8
RW Sex,  10 19 56.6,  -08 41 56,  RW Sex,  10 19 56.62,  -08 41 56.1
AH Eri,  04 22 38.1,  -13 21 30,  AH Eri,  04 22 38.05,  -13 21 30.5
TX Col,  05 43 20.2,  -41 01 55,  TX Col,  05 43 20.23,  -41 01 54.6
AG Hya,  09 50 29.8,  -23 45 17,  AG Hya,  09 50 29.76,  -23 45 17.5
DO Leo,  10 40 51.2,  +15 11 34,  DO Leo,  10 40 51.22,  +15 11 33.7
V344 Ori,  06 15 19.0,  +15 31 00,  V344 Ori,  06 15 18.95,  +15 30 59.6
VY Scl,  23 29 00.5,  -29 46 46,  VY Scl,  23 29 00.48,  -29 46 45.9
V347 Pup,  06 10 33.6,  -48 44 26,  V347 Pup,  06 10 33.66,  -48 44 25.4
RW Tri,  02 25 36.1,  +28 05 51,  RW Tri,  02 25 36.16,  +28 05 50.9
WX Pyx,  08 33 05.8,  -22 48 33,  WX Pyx,  08 33 05.74,  -22 48 32.2
TV Col,  05 29 25.4,  -32 49 05,  TV Col,  05 29 25.52,  -32 49 04.0
V705 Cas,  23 41 47.3,  +57 31 00,  V705 Cas,  23 41 47.20,  +57 30 59.8
V365 Car,  11 03 15.9,  -58 27 26,  V365 Car,  11 03 15.82,  -58 27 26.1
EZ Del,  20 25 22.9,  +15 45 58,  EZ Del,  20 25 22.93,  +15 45 57.9
V709 Cas,  00 28 48.9,  +59 17 22,  V709 Cas,  00 28 48.84,  +59 17 22.3
CN Vel,  11 02 38.7,  -54 23 10,  CN Vel,  11 02 38.5,  -54 23 10.
CZ Ori,  06 16 43.2,  +15 24 12,  CZ Ori,  06 16 43.21,  +15 24 11.4
FO Aql,  19 16 38.2,  +00 07 37,  FO Aql,  19 16 38.17,  +00 07 37.0
AY Psc,  01 36 55.4,  +07 16 30,  AY Psc,  01 36 55.46,  +07 16 29.3
V513 Cas,  00 18 14.9,  +66 18 14,  V513 Cas,  00 18 14.90,  +66 18 13.5
HL CMa,  06 45 17.2,  -16 51 35,  HL CMa,  06 45 17.22,  -16 51 34.7
PQ Gem,  07 51 17.4,  +14 44 25,  PQ Gem,  07 51 17.33,  +14 44 23.9
AR Cnc,  09 22 07.5,  +31 03 15,  AR Cnc,  09 22 07.57,  +31 03 14.4
HR Del,  20 42 20.4,  +19 09 40,  HR Del,  20 42 20.35,  +19 09 39.3
AR Cir,  14 48 09.2,  -60 00 25,  AR Cir,  14 48 09.53,  -60 00 27.5
PW Vul,  19 26 05.1,  +27 21 59,  PW Vul,  19 26 05.03,  +27 21 57.0
AP Cru,  12 31 20.6,  -64 26 25,  AP Cru,  12 31 20.43,  -64 26 24.7
HZ Pup,  08 03 22.8,  -28 28 29,  HZ Pup,  08 03 22.83,  -28 28 28.3
EX Dra,  18 04 14.1,  +67 54 12,  EX Dra,  18 04 14.23,  +67 54 12.4
