GCVS-Name	RA(2000)	Dec(2000)	PM-RA	PM-RAerr	PM-Dec	PM-Decerr	Epoch	l	b	Type	Period	Outburst	Cluster	Mag. Range	Coord-Ref.	PM-Ref	Type-Ref.	Chart-Ref.	Spect-Ref.	Period-Ref.	Other-Name	IUE	HST	ARIEL5	HEAO1	HEAO2	EXOSAT	ROSAT	GINGA	ASCA	EUVE
EF Tuc,  00 06,  -67 07 43.3,  0.0128,  0.0058,  -0.0047,  0.0058,  2000,  310,  -49,  ug,  145,  ,  ,  12.4I-14.6I,  2004-105,  2004-105,  2002-120,  A9999-99,  2001-56S,  2003-87,  1RXS J0001-6707,  ,  ,  ,  ,  ,  ,  Y,  ,  ,  ,  
Leo1,  11 07 14.61,  +01 54 50.5,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  ,  ,  - ,  ,  ,  1994-07*,  ,  ,  ,  PG 1104+022,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
V436 Cen,  11 14 57.6,  -37 40 47.9,  -0.0666,  0.0031,  -0.0055,  1,  1991.25,  282,  21,  ugsu,  0.062501,  ,  ,  11.3V-15.5V,  2004-109,  2004-109,  1987-20,  1982-03,  1982-13S,  1982-13,  1E 1111-3724,  Y,  Y,  ,  ,  Y,  ,  Y,  ,  Y,  ,  
AR UMa,  11 16 11.,  +42 58 22.4,  -0.08089,  0.0039,  -0.00157,  0.00389,  2003225,  167,  65,  am,  0.080501,  ,  ,  13.3V-16.5V,  2006-22,  2006-22,  1995-41,  1994-01,  1994-01S,  1999-75,  1ES 1113+432,  ,  Y,  ,  ,  Y,  ,  Y,  ,  Y,  Y,  
CE UMa,  11 17 03.50,  +29 22,  ,  ,  ,  ,  ,  201,  69,  UG:,  ,  ,  ,  15.5p-<21p,  C00004*,  ,  T00000,  A9999-99*,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
DP Leo,  11 19 31.32,  +17 57 42.0,  -24,  4,  8,  3,  2000,  231,  65,  am,  0.062363,  ,  ,  17.5B-19.5B,  2003-115,  2003-115,  1984-15,  1985-08,  1985-08S,  2002-135,  1E 1114+182,  Y,  Y,  ,  Y,  Y,  Y,  Y,  ,  ,  ,  
UMa3,  11 22 13.11,  +34 40 13.7,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  ,  ,  - ,  ,  ,  1994-07*,  ,  ,  ,  PG 1116+349,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Leo,  11 26 26.60,  -00 16 38.6,  0.00453,  0.0039,  -0.01536,  0.00389,  1999216,  263,  56,  ug,  0.0631,  ,  ,  19.6b-,  2006-22,  2006-22,  2002-01,  2004-77*,  2002-01S,  2002-01,  2QZ J112555.7-001639,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
GU Mus,  11 30 14.31,  -68 40 32.3,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  1991.,  ,  - ,  ,  ,  1994-53*,  ,  ,  ,  GRS 1121-68,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
AU Leo,  11 31 14.40,  +23 48 09.1,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  ,  ,  - ,  ,  ,  T00000*,  ,  ,  ,  S 8015,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Leo3,  11 31 23.,  +09 32 18.4,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  ,  ,  - ,  ,  ,  1994-07*,  ,  ,  ,  PG 1128+098,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
RZ Leo,  11 38 26.73,  +01 48 58.6,  -0.06338,  0.0039,  0.0151,  0.00389,  2000342,  265,  59,  ugwz,  0.0760383,  1918.,  ,  11.5V-19.2V,  2006-22,  2006-22,  1987-08,  1982-03,  1992-01S,  2003-81,  30.1919,  ,  ,  ,  ,  ,  Y,  ,  ,  ,  ,  
T Leo,  11 38 35.68,  +03 22 07.1,  -0.0945,  0.0039,  -0.06641,  0.00389,  2000342,  263,  60,  ugsu,  0.05882,  ,  ,  10.0V-15.9V,  2006-22,  2006-22,  1987-20,  1982-03,  1984-03S,  1984-22,  BD +4 2506a,  Y,  Y,  ,  Y,  ,  ,  Y,  ,  Y,  Y,  
V1033 Cen,  11 42 45.84,  -64 10 14.6,  ,  ,  ,  ,  ,  295,  -2,  am,  0.131518,  ,  ,  16.6V- ,  ICRS,  ,  2000-55,  1996-09,  1996-09S,  1998-69,  Cen3/RX J1141.3-6410,  ,  ,  ,  ,  ,  ,  Y,  ,  ,  ,  
DO Dra,  11 44 00.5,  +71 41 20.7,  14,  2,  14,  4,  2000,  130,  45,  dq,  0.165374,  ,  ,  10.6B-16.7B,  2003-115,  2003-115,  1991-21,  1986-13,  1983-12S,  1997-47,  YY Dra?,  Y,  Y,  ,  Y,  Y,  ,  Y,  ,  Y,  ,  
Dra,  11 48 03.12,  +67 59 09.6,  -0.0079,  0.0039,  0.00015,  0.00389,  2000.32,  132,  48,  cv/ug:,  ,  ,  ,  18.8s-,  2006-22,  2006-22,  2003-22,  A9999-99,  2003-22S,  *,  SDSS J114628+675910,  ,  ,  ,  ,  ,  ,  Y,  ,  ,  ,  
Leo,  11 49 00.58,  +18 30 45.2,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  ,  ,  -,  ,  ,  2002-19*,  ,  ,  ,  PG 1145+187,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
BC UMa,  11 52 25.45,  +49 14 41.9,  -0.02658,  0.0039,  -0.0102,  0.00389,  2002104,  146,  65,  ugsu,  0.06261,  ,  ,  10.9B-18.3B,  2006-22,  2006-22,  2000-37,  1985-04,  1990-09S,  2003-81,  GR 102,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
SW Crt,  11 53 24.73,  -24 31 01.2,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  ,  ,  - ,  ,  ,  1983-20*,  ,  ,  ,  SVS 2147,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
LZ Mus,  11 56 39.48,  -65 34 20.7,  ,  ,  ,  ,  ,  297,  -3,  na,  ,  1998.99,  ,  9.5V-<18.V,  1999-23,  ,  1998-09,  A9999-99*,  1998-09X,  *,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
UMa,  11 57 44.78,  +63 09 07.7,  ,  ,  ,  ,  ,  133,  53,  cv,  ,  ,  ,  20.7s-,  2004-45,  ,  2004-45,  A9999-99,  2004-45S,  ,  SDSS J115639+630907,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
V359 Cen,  11 58 32.13,  -41 46 08.4,  -18,  2,  0.03,  0,  2000,  292,  20,  ugsu,  0.0779,  ,  ,  13.8p-18.7V,  2003-115,  2003-115,  2001-79,  1987-08,  ,  2001-79,  vG 27,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
UMa,  11 58 34.51,  +43 56 54.0,  -0.0041,  0.0018,  0.0021,  0.0008,  2000,  152,  70,  cv:,  ,  ,  ,  12.5V-17.c,  2004-105*,  2004-105,  1998-56,  A9999-99*,  1998-57X:,  ,  SN 1989Z?,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Crv,  11 59 22.03,  -22 33 33.5,  ,  ,  ,  ,  ,  287,  39,  cv:,  ,  ,  ,  16.2V- ,  ICRS,  ,  1997-05,  A9999-99,  1997-05S:,  ,  EC 11560-2216,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Vir,  11 59 51.80,  -04 01 26.4,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  ,  ,  - ,  ,  ,  1994-49*,  ,  ,  ,  PG 1156-037,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Vir1,  12 01 24.38,  +00 07 53.2,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  ,  ,  - ,  ,  ,  1994-49*,  ,  ,  ,  PG 1157+004,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
UMa,  12 05 18.73,  +45 03 49.1,  ,  ,  ,  ,  ,  148,  70,  cv,  ,  ,  ,  20.0g-,  2006-05,  ,  2006-05,  A9999-99,  2006-05S,  ,  SDSS J120231+450349,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
DI Cru,  12 10 05.34,  -62 03 10.2,  -0.00657,  0.00142,  0.00023,  0.00149,  1991.25,  297,  0,  nlv,  ,  ,  ,  10.6h-10.9h,  1997-45,  1997-45,  1998-02,  A9999-99,  1998-02S,  ,  HD 104994,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
MU Cen,  12 15 44.23,  -44 28 16.1,  -0.0173,  0.01,  -0.0046,  0.01,  1998483,  296,  17,  ugSS,  342,  ,  ,  11.8V-14.9V,  2000-108,  2000-108,  1982-03/T00000,  1982-03,  1996-01S,  1990-35,  vG 41,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Vir,  12 17 59.69,  +05 20 13.9,  ,  ,  ,  ,  ,  280,  67,  cv,  ,  ,  ,  20.1s-,  2004-45,  ,  2004-45,  A9999-99,  2004-45S,  ,  SDSS J121607+052013,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
BE CVn,  12 18 29.75,  +40 33 09.9,  -0.00123,  0.0039,  -0.00094,  0.00389,  2003315,  148,  75,  ug:,  ,  ,  ,  16.0p-18.1p,  2006-22,  2006-22,  1996-02,  1977-09,  1996-02S:,  ,  GR 281,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
CVn1,  12 19 14.15,  +40 05 22.3,  0.00141,  0.0039,  -0.00225,  0.00389,  2003315,  149,  75,  nl/ug?,  ,  ,  ,  12.0p-<14p,  2006-22,  2006-22,  1989-16,  1933-01*,  ,  ,  NSV 5543,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Com,  12 19 29.46,  +13 52 55.5,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  ,  ,  - ,  ,  ,  1989-04*,  ,  ,  ,  NSV 5550,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
CVn,  12 19 57.72,  +47 15 22.8,  -116,  0.00399,  -2,  0.00399,  2003176,  138,  69,  nl,  ,  ,  ,  17.7g-,  2006-05,  2006-22,  2006-05,  A9999-99*,  2006-05S,  ,  SDSS J121929+471522,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Vir,  12 20 13.49,  -06 59 33.2,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  ,  ,  - ,  ,  ,  1994-49*,  ,  ,  ,  PG 1217-067,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
TV Crv,  12 22 20.18,  -18 27 01.9,  -18,  1,  2,  1,  2000,  293,  44,  ugsu,  0.0629,  ,  ,  12.5V-19.V,  2003-115,  2003-115,  1994-15,  1990-21,  1994-15S,  2003-07,  Crv1,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dra7,  12 23 16.2,  +75 03 27.4,  -0.0075,  11,  -0.0155,  11,  2000,  125,  42,  cv,  ,  ,  ,  15.2v- ,  2004-108*,  2004-108,  1995-12*,  A9999-99,  ,  ,  FBS 1220+753,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cru,  12 24 56.53,  -60 22 34.,  ,  ,  ,  ,  ,  299,  2,  n::,  ,  2003.63,  ,  9.0v-,  2003-63,  ,  2003-64*,  A9999-99*,  2003-64X,  ,  N Cru 2003,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Vir,  12 25 34.40,  -00 11 32.4,  ,  ,  ,  ,  ,  288,  62,  cv:,  ,  ,  ,  20.7b-,  2004-77,  ,  2004-77,  2004-77,  2004-77S,  ,  2QZ J122456.5-001133,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Vir6,  12 26 05.04,  +12 53 58.4,  0.00104,  0.0039,  -0.00332,  0.00389,  2003244,  279,  75,  nl,  ,  ,  ,  14p-16p,  2006-22,  2006-22,  1980-04,  A9999-99,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
CVn,  12 30 06.76,  +51 39 25.0,  23,  0.00309,  -0.01,  0.00309,  2001968,  132,  65,  cv,  ,  ,  ,  19.1g-,  2006-05,  2006-22,  2006-05,  A9999-99,  2006-05S,  ,  SDSS J122740+513925,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
CQ Dra,  12 30 51.46,  +69 12 04.5,  -0.06312,  0.00054,  -0.05648,  0.00047,  1991.25,  126,  48,  cv/symb,  0.1656,  ,  ,  - ,  1997-45,  1997-45,  1991-13*,  ,  1985-06S,  1988-26,  4 Dra b,  ,  ,  ,  ,  ,  ,  Y,  ,  ,  ,  
FU Com,  12 30 53.20,  +27 07 09.8,  ,  ,  ,  ,  ,  212,  85,  ug,  ,  ,  ,  19.5p-21p,  ICRS,  ,  1990-18,  1990-09,  ,  ,  LV 4,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
GT Com,  12 31 15.43,  +29 00 43.4,  ,  ,  ,  ,  ,  ,  ,  non-ex,  ,  ,  ,  -,  ,  ,  2000-102*,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
IR Com,  12 39 58.78,  +21 08 06.9,  -24,  4,  0.01,  2,  2000,  278,  83,  ugsu:,  0.087039,  ,  ,  13.5B-18.B,  2003-115,  2003-115,  1995-48,  1997-10*,  1997-10S,  1997-10,  Com1,   S 10932,  ,  ,  ,  ,  ,  ,  Y,  ,  ,  
V591 Cen,  12 43 25.93,  -33 34 10.4,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  ,  ,  -,  ,  ,  2005-56*,  ,  ,  ,  HV 10172,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
UMa,  12 44 42.08,  +61 35 14.6,  -0.00356,  0.0039,  -0.01091,  0.00389,  2001389,  124,  56,  cv,  ,  ,  ,  18.8s-,  2006-22,  2006-22,  2004-45,  A9999-99,  2004-45S,  ,  SDSS J124426+613514,  ,  ,  ,  ,  ,  ,  Y,  ,  ,  ,  
TX CVn,  12 48 19.36,  +36 45 50.4,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  ,  ,  - ,  ,  ,  T00000*,  ,  ,  ,  BD +37 2318,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Vir,  12 49 16.,  +07 20 49.4,  ,  ,  ,  ,  ,  301,  70,  ug,  ,  ,  ,  16.7c-21.4s,  2005-46,  ,  2005-46,  A9999-99,  2005-46X:,  ,  SDSS J124819+072049,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
FY Com,  12 49 59.76,  +27 25 22.,  ,  ,  ,  ,  ,  181,  89,  ug,  ,  ,  ,  19.5p-21p,  ICRS,  ,  1990-18,  1995-26*,  ,  ,  LV 13,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
EX Hya,  12 53 32.86,  -29 14 56.0,  -0.1276,  0.0016,  0.0319,  0.0016,  2000,  303,  33,  ug/dq,  0.068234,  ,  ,  10.0v-14.1v,  2004-105,  2004-105,  1983-12/1995-41,  1982-03,  1983-12S,  1983-26,  1E 1249-2858,  Y,  Y,  ,  Y,  Y,  Y,  Y,  Y,  Y,  Y,  
GO Com,  12 56 41.38,  +26 36 43.5,  22,  1,  -8,  3,  2000,  9,  88,  ugsu,  0.0658,  ,  ,  13.1p-20p,  2003-115,  2003-115,  1995-32,  1982-03,  1990-09S,  1995-57,  SVS 382,  ,  ,  ,  ,  ,  ,  Y,  ,  Y,  ,  
V485 Cen,  12 58 34.76,  -33 12 05.6,  -0.0237,  0.0062,  0.0073,  0.0062,  1991.25,  304,  29,  ugsu,  0.040995,  ,  ,  14.V-18.2V,  1998-89,  1998-89,  1997-23,  1982-03,  1998-03S,  1997-57,  HV 10231,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
Dra,  12 58 34.77,  +64 08 23.1,  0.00422,  0.0039,  -0.01094,  0.00389,  2000.26,  122,  53,  cv,  ,  ,  ,  20.6s-,  2006-22,  2006-22,  2003-22,  A9999-99,  2003-22S,  ,  SDSS J125834+640823,  ,  ,  ,  ,  ,  ,  Y,  ,  ,  ,  
Dra,  12 59 01.24,  +66 35 51.6,  -0.00982,  0.0039,  0.00167,  0.00389,  2000.32,  122,  51,  cv,  ,  ,  ,  20.2s-,  2006-22,  2006-22,  2003-22,  A9999-99,  2003-22S,  ,  SDSS J125834+663552,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
RX Com,  13 00 25.51,  +15 09 40.0,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  ,  ,  -,  ,  ,  1986-19*,  ,  ,  ,  HV 3627,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cen,  13 02 31.8,  -30 52 56.6,  -22,  12,  18,  7,  2000,  305,  32,  cv,  ,  ,  ,  15.5V-18.7V,  2003-115,  2003-115,  2004-58,  2004-58,  2004-58S,  *,  CTCV J1300-3052,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Vir,  13 05 14.73,  +01 03 30.8,  ,  ,  ,  ,  ,  310,  64,  ug,  ,  ,  ,  20.7b-,  2002-01,  ,  2002-01,  2004-77,  2002-01S,  ,  2QZ J130441.7+010330,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
UMa,  13 05 42.41,  +58 28 56.2,  0.00717,  0.0039,  0.00161,  0.00389,  2002118,  119,  59,  cv,  ,  ,  ,  19.3s-,  2006-22,  2006-22,  2004-45,  A9999-99,  2004-45S,  ,  SDSS J130514+582856,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
EV UMa,  13 08 06.54,  +53 51 30.6,  -0.00271,  0.0039,  0.00359,  0.00389,  2002285,  118,  63,  am,  0.055338,  ,  ,  17.1V-20.8V,  2006-22,  2006-22,  1994-19,  1994-19,  1994-19S,  1994-19,  RX J1307+53,  ,  ,  ,  ,  ,  ,  Y,  ,  ,  Y,  
BM Cha,  13 08 45.88,  -77 55 05.0,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  ,  ,  - ,  ,  ,  1983-03*,  ,  ,  ,  S 6445,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
UMi,  13 08 55.06,  +70 26 17.8,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  ,  ,  -,  ,  ,  2000-80*,  ,  ,  ,  RX J1308+7026,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Com,  13 10 28.69,  +29 24 25.6,  -0.00549,  0.0039,  -0.00147,  0.00389,  2004388,  65,  86,  nl:,  ,  ,  ,  17.5V-20.3V,  2006-22,  2006-22,  C00006,  1991-24,  ,  ,  NSV 19626,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
AU CVn,  13 12 46.44,  +32 20 43.4,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  ,  ,  -,  ,  ,  T00000*,  ,  ,  ,  SVS 1254,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
V1043 Cen,  13 13 54.3,  -32 59 12.2,  -0.0177,  0.0024,  -0.0376,  0.0016,  1991.25,  308,  30,  am,  0.174592,  ,  ,  16V- ,  2004-109,  2004-109,  2000-02,  2000-02,  2000-02S,  2000-02,  RX J1313-3259,  ,  Y,  ,  ,  ,  ,  Y,  ,  ,  ,  
V812 Cen,  13 14 15.38,  -57 40 44.,  ,  ,  ,  ,  ,  306,  5,  n,  ,  1973.,  ,  11p-20.4V,  ICRS,  ,  1987-08,  1987-08,  1987-08X:,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
NN Cen,  13 14 41.,  -60 52 44.4,  -0.0553,  0.0053,  0.0685,  0.0054,  2000,  306,  1,  ugss,  ,  ,  ,  13.2p-18.1V,  2004-105,  2004-105,  1982-03,  1996-01*,  1996-01S,  ,  HV 6432,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Oct,  13 16 38.46,  -87 31 32.,  ,  ,  ,  ,  ,  303,  -25,  N:,  ,  1911.,  ,  13.0p-15p,  1967-06,  ,  T00001,  A9999-99*,  ,  ,  NSV 6101,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Vir2,  13 17 39.28,  +03 48 18.2,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  ,  ,  - ,  ,  ,  1994-49*,  ,  ,  ,  PG 1314+041,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Vir,  13 17 51.76,  -12 32 51.8,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  ,  ,  - ,  ,  ,  1994-49*,  ,  ,  ,  PG 1315-123,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dra1,  13 18 00.67,  +67 31 59.6,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  ,  ,  - ,  ,  ,  2004-69*,  ,  ,  ,  PG 1316+678,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
UMa,  13 20 27.50,  +57 28 04.0,  8,  0.00277,  7,  0.00277,  2003178,  116,  59,  cv:,  ,  ,  ,  16.5B-,  2006-22,  2006-22,  2006-23,  A9999-99,  ,  ,  SBS 1316+577A,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
UMi,  13 20 49.25,  +87 49 01.4,  ,  ,  ,  ,  ,  123,  29,  cv,  ,  ,  ,  16.2v- ,  ICRS,  ,  1996-18,  A9999-99,  ,  ,  FBS 1328+881,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
V840 Cen,  13 20 49.74,  -55 50 12.8,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  ,  ,  - ,  ,  ,  1987-08*,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
RR Cha,  13 26 26.61,  -82 19 43.1,  ,  ,  ,  ,  ,  304,  -19,  na/dq,  0.1401,  1953.,  ,  7.1p-19.3j,  ICRS,  ,  2004-92,  1987-08,  1996-01S,  2002-38,  S 5346,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cen,  13 26 38.26,  -47 26 35.1,  ,  ,  ,  ,  ,  309,  15,  ug:,  ,  ,  G,  -,  2004-65,  ,  2004-65*,  2004-65,  ,  ,  NGC 5139-NV408,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cen,  13 26 52.1,  -47 19 57.0,  ,  ,  ,  ,  ,  309,  15,  cv,  ,  ,  G,  -,  2002-85,  ,  2002-85*,  ,  ,  ,  NGC 5139-31,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cen,  13 26 53.5,  -47 29 36.2,  ,  ,  ,  ,  ,  309,  15,  cv,  ,  ,  G,  20.2R- ,  2000-14,  ,  2000-14,  2000-14,  ,  ,  NGC 5139-A,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
Dra,  13 28 56.46,  +65 28 54.4,  -0.0068,  0.0039,  -0.00783,  0.00389,  2000262,  117,  51,  ux,  0.13665,  ,  ,  17.8s-,  2006-22,  2006-22,  2003-20,  2003-20,  2003-20S,  2003-20,  SDSS J132723+652854,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cam,  13 29 33.72,  +83 26 17.4,  ,  ,  ,  ,  ,  ,  34,  non-cv,  ,  ,  ,  - ,  ICRS,  ,  2001-16*,  ,  ,  ,  FBS 1330+837,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
LY Hya,  13 35 29.91,  -29 40 59.4,  0.0255,  0.0058,  -0.0113,  0.0077,  1991.25,  313,  32,  ug:,  0.0748,  ,  ,  14.4V-18.4V,  2004-109,  2004-109,  1983-02,  1983-02,  1983-02S,  1994-67,  Hya2,   1329-294,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mus,  13 35 40.76,  -64 45 42.6,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  ,  ,  -,  ,  ,  1976-05*,  ,  ,  ,  NSV 19878,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Vir,  13 36 02.13,  +05 07 22.7,  -0.0002,  0.0039,  -0.01107,  0.00389,  2001211,  330,  66,  cv,  ,  ,  ,  18.5s-,  2006-22,  2006-22,  2004-45,  A9999-99,  2004-45S,  ,  SDSS J133540+050722,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
UMa,  13 42 09.75,  +48 47 27.5,  -0.14711,  0.0039,  0.0485,  0.00389,  2003088,  103,  66,  cv,  0.05731,  ,  ,  17.6s-,  2006-22,  2006-22,  2005-32,  A9999-99,  2005-32S*,  2006-10,  SDSS J133941+484727,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
CVn,  13 42 10.78,  +28 22 47.5,  ,  ,  ,  ,  ,  42,  79,  cbss/cv,  ,  ,  G,  18.1V-18.3V,  2004-21*,  ,  2004-21,  2004-21,  ,  ,  1RXS J134210+282250,  ,  Y,  ,  ,  Y,  ,  Y,  ,  ,  ,  
CR Boo,  13 49 31.8,  +07 57 35.7,  -0.0388,  0.0058,  0.0179,  0.0058,  2000,  341,  66,  ibwd,  0.017029,  ,  ,  13.0V-17.5V,  2006-22,  2004-105,  1995-41,  1986-06,  1987-18S,  1997-50,  PG 1346+082,  Y,  Y,  ,  ,  ,  Y,  Y,  ,  Y,  ,  
V890 Cen,  13 50 10.60,  -47 54 40.,  ,  ,  ,  ,  ,  313,  14,  nl,  ,  ,  ,  >19.0j-21.5j,  1994-11,  ,  1994-11,  1994-11*,  1994-11S,  ,  Cen4,   V1349-4754,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
V868 Cen,  13 50 29.2,  -63 08 52.0,  ,  ,  ,  ,  ,  310,  -1,  n,  ,  1991.25,  ,  10.2V-19.9V,  1991-28,  ,  1991-06,  2000-15*,  1991-06X:,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
V1039 Cen,  13 58 09.92,  -64 15 57.1,  ,  ,  ,  ,  ,  310,  -2,  na,  247,  2001.75,  ,  9.1V-<20.8B,  2001-70,  ,  2001-71,  2004-22*,  2001-78X:,  2005-99,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
BW Cir,  13 59 05.5,  -64 44 04.9,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  1987.,  ,  - ,  ,  ,  1988-10*,  ,  ,  ,  1354-64,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
DR UMa,  14 03 21.96,  +55 44 04.,  ,  ,  ,  ,  ,  104,  59,  UG/NL,  ,  ,  ,  17.5B-<18.2B,  ICRS,  ,  T00000,  1979-04*,  ,  ,  GR 296,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Vir,  14 06 01.78,  -01 46 50.2,  ,  ,  ,  ,  ,  337,  56,  cv:,  ,  ,  ,  20.5b-,  ICRS,  ,  2001-49,  A9999-99,  2001-49S,  ,  2QZ J140321.8-014651,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Vir3,  14 06 47.,  -11 18 32.7,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  ,  ,  - ,  ,  ,  1994-07*,  ,  ,  ,  PG 1403-111,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
AB Boo,  14 06 54.98,  +20 48 25.,  ,  ,  ,  ,  ,  17,  71,  n::,  ,  1877.4,  ,  4.5v- ,  C00003,  ,  1987-08,  1987-08:*,  ,  ,  BD +21 2606?,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Z Aps,  14 08 20.92,  -71 22 16.3,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  ,  ,  - ,  ,  ,  1991-22*,  ,  ,  ,  HV 5060,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
