GCVS-Name	RA(2000)	Dec(2000)	PM-RA	PM-RAerr	PM-Dec	PM-Decerr	Epoch	l	b	Type	Period	Outburst	Cluster	Mag. Range	Coord-Ref.	PM-Ref	Type-Ref.	Chart-Ref.	Spect-Ref.	Period-Ref.	Other-Name	IUE	HST	ARIEL5	HEAO1	HEAO2	EXOSAT	ROSAT	GINGA	ASCA	EUVE
EF Tuc,  00 06,  -67 07 43.3,  0.0128,  0.0058,  -0.0047,  0.0058,  2000,  310,  -49,  ug,  145,  ,  ,  12.4I-14.6I,  2004-105,  2004-105,  2002-120,  A9999-99,  2001-56S,  2003-87,  1RXS J0001-6707,  ,  ,  ,  ,  ,  ,  Y,  ,  ,  ,  
Tuc,  00 24 05.00,  -72 04 55.2,  ,  ,  ,  ,  ,  306,  -45,  ug:,  1.109099,  ,  G,  15.5U-19.5U,  1997-44*,  ,  1997-33,  1997-33,  ,  2003-99,  NGC 104 AKO9,  ,  Y,  ,  ,  Y,  ,  ,  ,  ,  ,  
Tuc,  00 24 05.14,  -72 05 06.5,  ,  ,  ,  ,  ,  306,  -45,  cv:,  ,  ,  G,  21.1w-,  2003-78,  ,  2003-78,  A9999-99*,  ,  ,  NGC 104-W35,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
Tuc,  00 24 05.24,  -72 04 21.5,  ,  ,  ,  ,  ,  306,  -45,  cv,  ,  ,  G,  21.4V-,  2003-78,  ,  2003-78,  2003-78,  ,  ,  NGC 104-W33,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
Tuc,  00 24 05.61,  -72 04 51.1,  ,  ,  ,  ,  ,  306,  -45,  cv:,  ,  ,  G,  19.9U- ,  1997-44,  ,  1996-26,  ,  ,  ,  NGC 104 Edmonds V7,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tuc,  00 24 05.65,  -72 05 04.6,  ,  ,  ,  ,  ,  306,  -45,  cv:,  ,  ,  G,  22.8w-,  2003-78,  ,  2003-78*,  A9999-99*,  ,  ,  NGC 104-W31,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
Tuc,  00 24 06.02,  -72 04 49.2,  ,  ,  ,  ,  ,  306,  -45,  cv:,  ,  ,  G,  -,  2005-25,  ,  2005-25*,  ,  ,  ,  NGC 104-W32,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tuc,  00 24 06.26,  -72 04 42.9,  ,  ,  ,  ,  ,  306,  -45,  cv,  0.19449,  ,  G,  23.1V-,  2003-78,  ,  2003-78,  2003-78,  ,  2005-25,  NGC 104-W27,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
Tuc,  00 24 06.38,  -72 04 45.9,  ,  ,  ,  ,  ,  306,  -45,  cv:,  ,  ,  G,  18.5V-,  2001-111*,  ,  2001-111,  2002-91,  ,  ,  NGC 104 PC1-V52,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
Tuc,  00 24 06.43,  -72 04 48.9,  ,  ,  ,  ,  ,  306,  -45,  cv:,  ,  ,  G,  -,  2002-57*,  ,  2002-57,  2002-57,  ,  ,  NGC 104 CV,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
Tuc,  00 24 06.51,  -72 05 07.0,  ,  ,  ,  ,  ,  306,  -45,  cv:,  ,  ,  G,  -,  2002-57*,  ,  2002-57,  2002-57,  ,  ,  NGC 104 CV,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
