Name_RK	RAJ2000_RK	DEJ2000_RK	Type1_RK	Type2_RK	mag1_RK	Orb.Per	Distance_RK	5%_RK	95%_RK  	Name_DS	RAJ2000_DS	DEJ2000_DS	PM-RA_DS	PM-RAerr_DS	PM-Dec_DS	PM-Decerr_DS	Epoch_DS	l_DS	b_DS	Type_DS	Period_DS	Outburst_DS	Cluster_DS	Mag. Range_DS	Coord-Ref_DS	PM-Ref_DS	Type-Ref_DS	Chart-Ref_DS	Spect-Ref_DS	Period-Ref_DS	Other-Name_DS	IUE_DS	HST_DS	ARIEL5_DS	HEAO1_DS	HEAO2_DS	EXOSAT_DS	ROSAT_DS	GINGA_DS	ASCA_DS	EUVE_DS		Link_Name_SIMBAD 	Link_Coord_SIMBAD
V726 Sgr,  18 19 33.7,  -26 53 20,  Na,    ,   nan,  0.822812,  nan,  nan,  nan,  V726 Sgr,  18 19 33.69,  -26 53 19.6,  ,  ,  ,  ,  ,  5,  -6,  na,  ,  1936.37,  ,  10.8p-19j,  C00003,  ,  1987-08,  1987-08:*,  1987-08X:,  ,  HDE 315532,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V726 Sgr,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=18 19 33.7++-26 53 20&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V731 Cas,  23 57 00.3,  +56 45 08,  NL,    ,  18.76,  0.780600,  4597.23,  2200.56,  4418.99,  V731 Cas,  23 57 00.17,  +56 45 08.8,  -8,  0,  14,  3,  2000,  115,  -5,  cv:,  0.7806,  ,  O,  19.1V-19.5V,  2003-115,  2003-115,  1999-61 ,  1999-61,  ,  1999-61,  NGC 7789 V9,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V731 Cas,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=23 57 00.3+++56 45 08&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V723 Cas,  01 05 05.4,  +54 00 41,  Nb,    ,  15.50,  0.693277,  6542.84,  1885.65,  3510.25,  V723 Cas,  01 05 05.37,  +54 00 40.5,  ,  ,  ,  ,  ,  125,  -9,  nb,  0.693265,  1995.65,  ,  7.1V-<18V,  1995-25,  ,  1995-25,  1998-77,  1998-16X,  2002-128,  ,  Y,  Y,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V723 Cas,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=01 05 05.4+++54 00 41&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V368 Aql,  19 26 34.4,  +07 36 14,  Na,    ,  15.73,  0.690509,  2783.54,  525.93,  871.07,  V368 Aql,  19 26 34.44,  +07 36 13.4,  -0.0109,  5,  -0.0089,  5,  2000,  44,  -4,  na,  0.3452,  1936.74,  ,  5.0p-15.4p,  2004-106,  2004-106,  1987-08,  1987-08*,  1983-12S,  1994-60,  668.1936,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V368 Aql,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 26 34.4+++07 36 14&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
QR And,  00 19 49.8,  +21 56 53,  SS,  IP,  12.24,  0.660465,  2049.78,  263.07,  367.85,  QR And,  00 19 49.93,  +21 56 52.1,  0.0184,  0.0013,  -6,  0.0013,  2000,  113,  -40,  cbss,  0.660465,  ,  ,  12.2V-,  2004-105,  2004-105,  1995-71,  1995-70,  1995-71S,  2001-89,  RX J0019.8+2156,  ,  Y,  ,  ,  ,  ,  Y,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=QR And,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 19 49.8+++21 56 53&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V445 Pup,  07 37 56.9,  -25 56 59,  N ,    ,   nan,  0.650650,  nan,  nan,  nan,  V445 Pup,  07 37 56.88,  -25 56 58.8,  0.0003,  0.0046,  0.0048,  0.0046,  2000,  241,  -2,  nc:,  ,  2000,  ,  8.6c-<14.c,  2004-105,  2004-105,  T00000,  A9999-99,  2001-06X,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V445 Pup,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=07 37 56.9++-25 56 59&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V2731 Oph,  17 30 21.9,  -05 59 32,  NL,  IP,  15.78,  0.642500,  2392.38,  443.77,  686.34,  Oph,  17 30 21.90,  -05 59 32.1,  ,  ,  ,  ,  ,  18,  -15,  dq,  0.6425,  ,  ,  16.3B-,  2005-44,  ,  2005-44,  2005-44,  2005-44S,  2005-44,  1RXS J173021-055933,  ,  ,  ,  ,  ,  ,  Y,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V2731 Oph,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=17 30 21.9++-05 59 32&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V478 Her,  17 21 05.6,  +23 39 40,  DN,    ,  17.07,  0.629049,  2716.43,  554.60,  961.55,  V478 Her,  17 21 05.60,  +23 39 36.8,  ,  ,  ,  ,  ,  46,  30,  ugsu,  ,  ,  ,  15.5p-17.1p,  ICRS,  ,  2001-26,  1957-09,  1999-08S,  ,  S 4133,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V478 Her,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=17 21 05.6+++23 39 40&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
CI Aql,  18 52 03.6,  -01 28 39,  Nr,    ,  15.76,  0.618360,  3209.97,  690.41,  1084.11,  CI Aql,  18 52 03.59,  -01 28 39.3,  0.0093,  5,  -2,  5,  2000,  32,  -1,  n/nr,  0.618363,  1917.48,  ,  8.8V-15.6p,  2004-106,  2004-106,  2000-09*,  1987-08,  2000-09X*,  2003-35,  23.1925,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=CI Aql,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=18 52 03.6++-01 28 39&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
BV Cen,  13 31 19.6,  -54 58 34,  DN,  UG,  12.77,  0.611179,  366.80,  9.01,  9.55,  BV Cen,  13 31 19.48,  -54 58 33.5,  -0.0258,  0.0051,  -0.0014,  0.0047,  2000,  309,  7,  ug,  0.610108,  ,  ,  10.5v-13.3v,  2000-110,  2000-110,  1984-15,  1982-03,  1982-12S,  1993-34,  HV 4647,  Y,  ,  ,  ,  Y,  ,  Y,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=BV Cen,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=13 31 19.6++-54 58 34&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
