Name	RAJ2000	DEJ2000	Type1	Type2	mag1	Orb.Per	Distance	5%	95%	GCVS-Name	RA(2000)	Dec(2000)	PM-RA	PM-RAerr	PM-Dec	PM-Decerr	Epoch	l	b	Type	Period	Outburst	Cluster	Mag. Range	Coord-Ref.	PM-Ref	Type-Ref.	Chart-Ref.	Spect-Ref.	Period-Ref.	Other-Name	IUE	HST	ARIEL5	HEAO1	HEAO2	EXOSAT	ROSAT	GINGA	ASCA	EUVE
UY Pup,  07 46 31.2,  -12 57 09,  DN,  UG,  15.14,  0.479269,  1063.59,  73.43,  76.26,  UY Pup,  07 46 31.24,  -12 57 09.0,  -0.0076,  0.0014,  0.0111,  0.0063,  2000,  231,  6,  ugz:,  0.479269,  ,  ,  13.5V-15.8V,  2004-105,  2004-105,  1982-03,  1982-03,  1994-07S,  2004-01,  153.1929,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=UY Pup
NGC 6397-CV1,  17 40 41.6,  -53 40 19,    ,    ,  13.64,  0.471199,  3468.44,  486.38,  715.39,  Ara,  17 40 41.43,  -53 40 17.5,  ,  ,  ,  ,  ,  338,  -12,  cv:,  0.471199,  ,  G,  17.5V-18.3V,  1995-22,  ,  1995-11,  1995-22,  1995-11S,  2006-15,  NGC 6397-CV1,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=NGC 6397-CV1
V442 Cen,  11 24 51.9,  -35 54 38,  DN,  UG,  15.75,  0.460000,  339.48,  8.58,  8.66,  V442 Cen,  11 24 51.93,  -35 54 36.8,  -0.0274,  0.0046,  0.0021,  0.0041,  1991.25,  284,  23,  ugSS,  ,  ,  ,  11.9V-<16.5v,  2004-109,  2004-109,  1982-03/T00000,  1982-03,  1998-03X,  *,  HV 8364,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V442 Cen
EY Cyg,  19 54 36.8,  +32 21 55,  DN,  UG,  14.35,  0.459324,  648.36,  13.59,  14.39,  EY Cyg,  19 54 36.74,  +32 21 55.1,  0.0081,  0.0054,  0.0078,  0.0054,  2000,  69,  2,  ugSS,  0.459324,  ,  ,  11.4v-15.5v,  2004-105,  2004-105,  1987-04/T00000,  1987-04,  1997-07S,  2004-102,  200.1928,  Y,  Y,  ,  ,  ,  Y,  Y,  ,  Y,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=EY Cyg
QU Car,  11 05 42.8,  -68 37 58,  NL,    ,  11.37,  0.450000,  590.28,  20.97,  22.06,  QU Car,  11 05 42.51,  -68 37 58.2,  -0.01377,  0.00144,  0.00047,  0.00153,  1991.25,  294,  1,  nl,  454,  ,  ,  11.1v-11.5v,  1997-45,  1997-45,  1984-15,  1949-03,  1982-11S,  1982-11,  HDE 310376,  Y,  Y,  ,  Y,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=QU Car
DX And,  23 29 46.7,  +43 45 04,  DN,  UG,  14.78,  0.440502,  598.81,  13.42,  15.38,  DX And,  23 29 46.68,  +43 45 04.1,  -0.0139,  0.0054,  -0.0108,  0.0054,  2000,  108,  -16,  ug,  0.440502,  ,  ,  10.9p-16.4p,  2004-105,  2004-105,  1987-04,  1987-04,  1989-06S,  1997-46,  GR 17,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=DX And
KO Vel,  10 15 58.4,  -47 58 11,  NL,  IP,  18.73,  0.422000,  675.79,  127.01,  212.71,  KO Vel,  10 15 58.31,  -47 58 10.1,  ,  ,  ,  ,  ,  278,  7,  dq::,  422,  ,  ,  16.7V-19.0V,  ICRS,  ,  1994-46,  1983-09,  1983-06S,  1992-38,  1E 1013-477,  Y,  ,  ,  Y,  Y,  Y,  Y,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=KO Vel
Q  Cyg,  21 41 43.9,  +42 50 29,  Na,    ,  14.52,  0.420360,  1376.33,  72.85,  78.07,  Q Cyg,  21 41 43.93,  +42 50 29.1,  0.0029,  0.0054,  -0.0039,  0.0054,  2000,  90,  -7,  na,  0.4202,  1876.90,  ,  3.0v-15.6v,  2004-105,  2004-105,  1987-08,  1987-08,  1986-08S,  2003-85,  BD +42 4182a,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=Q  Cyg
0928+5004,  09 32 14.9,  +49 50 54,  NL,  UX,  16.52,  0.418380,  2716.41,  557.21,  1011.52,  UMa6,  09 32 14.82,  +49 50 54.8,  0.00032,  0.0039,  -0.00388,  0.00389,  2002022,  168,  46,  nl,  0.41838,  ,  ,  16.3V- ,  2006-22,  2006-22,  1990-25,  1990-25,  1997-07S,  1999-78,  1H 0928+500,  ,  ,  ,  Y,  ,  ,  Y,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=0928+5004
WX Cen,  13 12 52.5,  -63 23 45,  NL,  SS,  13.71,  0.416959,  2941.46,  250.05,  311.77,  WX Cen,  13 12 52.38,  -63 23 45.9,  -11,  0.0052,  -0.0075,  0.0052,  2000,  305,  -1,  nlv,  0.416962,  ,  ,  13.4V-14.2V,  2004-105,  2004-105,  1998-02,  1968-08,  1995-14S,  2004-29,  HV 1262,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=WX Cen
V1062 Tau,  05 02 27.5,  +24 45 23,  NL,  IP,  16.11,  0.415926,  1662.19,  279.55,  449.22,  V1062 Tau,  05 02 27.47,  +24 45 23.4,  -0.0055,  5,  0.0023,  5,  2000,  178,  -10,  dq,  0.41284,  ,  ,  15.1B-16.1B,  2004-106,  2004-106,  1994-46,  1994-10,  1994-10S,  2004-33,  Tau1,   1H 0459+246,  Y,  ,  ,  Y,  Y,  Y,  Y,  ,  Y,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V1062 Tau
AE Aqr,  20 40 09.0,  -00 52 16,  NL,  DQ,  10.95,  0.411656,  91.23,  0.75,  0.76,  AE Aqr,  20 40 09.16,  -00 52 15.1,  0.0709,  0.0016,  0.0147,  0.0016,  2000,  45,  -24,  dq,  0.411656,  ,  ,  9.8V-11.8V,  2000-110,  2000-110,  1995-41,  1983-12,  1983-12S,  1993-40,  342.1931,  Y,  Y,  ,  ,  Y,  Y,  Y,  Y,  Y,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=AE Aqr
