Nome_RK, RA_RK, DEC_RK, Nome_DS, RA_DS, DEC_DS
WX LMi,  10 26 27.5,  +38 45 04,  WX LMi,  10 26 27.49,  +38 45 02.5
V592 Cas,  00 20 52.2,  +55 42 17,  V592 Cas,  00 20 52.24,  +55 42 16.2
V405 Vul,  19 53 05.0,  +21 14 49,  V405 Vul,  19 53 04.94,  +21 14 48.6
QU Vul,  20 26 46.0,  +27 50 43,  QU Vul,  20 26 46.02,  +27 50 43.2
KZ Gem,  06 53 02.5,  +16 39 59,  KZ Gem,  06 53 02.47,  +16 39 58.7
V349 Pav,  20 08 55.8,  -65 27 43,  V349 Pav,  20 08 55.86,  -65 27 43.5
CI Gem,  06 30 05.9,  +22 18 51,  CI Gem,  06 30 05.86,  +22 18 50.7
AX Cap,  20 08 57.0,  -17 16 38,  AX Cap,  20 08 57.01,  -17 16 38.1
V795 Her,  17 12 56.1,  +33 31 21,  V795 Her,  17 12 56.17,  +33 31 19.2
V  Per,  02 01 53.9,  +56 44 04,  V Per,  02 01 53.92,  +56 44 03.5
IM Nor,  15 39 26.5,  -52 19 18,  IM Nor,  15 39 26.47,  -52 19 18.0
V348 Pup,  07 12 32.9,  -36 05 40,  V348 Pup,  07 12 32.90,  -36 05 38.6
V1363 Cyg,  20 06 11.5,  +33 42 38,  V1363 Cyg,  20 06 11.53,  +33 42 37.7
MN Dra,  20 23 38.3,  +64 36 27,  MN Dra,  20 23 38.33,  +64 36 27.0
V1006 Cyg,  19 48 47.2,  +57 09 22,  V1006 Cyg,  19 48 47.22,  +57 09 21.8
NY Ser,  15 13 02.3,  +23 15 08,  NY Ser,  15 13 02.30,  +23 15 08.4
DD Cir,  14 23 23.5,  -69 08 45,  DD Cir,  14 23 23.46,  -69 08 45.3
QS Tel,  19 38 35.7,  -46 12 57,  QS Tel,  19 38 35.80,  -46 12 56.6
V516 Pup,  08 03 45.5,  -47 48 45,  V516 Pup,  08 03 45.61,  -47 48 44.6
DV Sco,  16 50 27.9,  -28 07 59,  DV Sco,  16 50 27.93,  -28 07 58.6
V725 Aql,  19 56 45.1,  +10 49 32,  V725 Aql,  19 56 45.00,  +10 49 33.3
V381 Vel,  10 16 58.9,  -41 03 45,  V381 Vel,  10 16 58.99,  -41 03 44.2
UW Pic,  05 31 35.6,  -46 24 06,  UW Pic,  05 31 35.59,  -46 24 05.9
AD Men,  06 04 30.9,  -71 25 23,  AD Men,  06 04 30.78,  -71 25 22.4
V589 Her,  16 22 07.2,  +19 22 36,  V589 Her,  16 22 07.15,  +19 22 36.7
UV Gem,  06 38 44.1,  +18 16 11,  UV Gem,  06 38 44.12,  +18 16 12.0
GX Cas,  00 49 01.5,  +56 52 45,  GX Cas,  00 49 01.55,  +56 52 44.1
GZ Cnc,  09 15 51.7,  +09 00 50,  GZ Cnc,  09 15 51.67,  +09 00 49.6
V344 Lyr,  18 44 39.2,  +43 22 28,  V344 Lyr,  18 44 39.18,  +43 22 28.2
UZ For,  03 35 28.6,  -25 44 23,  UZ For,  03 35 28.62,  -25 44 22.3
EU Cnc,  08 51 27.2,  +11 46 57,  EU Cnc,  08 51 27.19,  +11 46 57.0
IR Com,  12 39 32.0,  +21 08 06,  IR Com,  12 39 32.03,  +21 08 06.9
HU Aqr,  21 07 58.3,  -05 17 39,  HU Aqr,  21 07 58.22,  -05 17 40.1
YZ Cnc,  08 10 56.6,  +28 08 34,  YZ Cnc,  08 10 56.65,  +28 08 33.3
V419 Lyr,  19 10 13.9,  +29 06 14,  V419 Lyr,  19 10 13.90,  +29 06 14.3
V823 Cyg,  20 01 49.3,  +36 07 24,  V823 Cyg,  20 01 49.26,  +36 07 24.4
DV UMa,  09 46 36.7,  +44 46 45,  DV UMa,  09 46 36.59,  +44 46 44.7
V452 Cas,  00 52 18.1,  +53 51 50,  V452 Cas,  00 52 18.06,  +53 51 50.1
KK Tel,  20 28 38.5,  -52 18 45,  KK Tel,  20 28 38.52,  -52 18 45.0
TY PsA,  22 49 39.9,  -27 06 54,  TY PsA,  22 49 39.87,  -27 06 53.3
BF Ara,  17 38 21.3,  -47 10 41,  BF Ara,  17 38 21.32,  -47 10 41.1
V516 Lyr,  19 20 35.7,  +37 44 52,  V516 Lyr,  19 20 35.67,  +37 44 52.3
EF Peg,  21 15 04.1,  +14 03 49,  EF Peg,  21 15 04.,  +14 03 50.
V1007 Her,  17 24 06.3,  +41 14 09,  V1007 Her,  17 24 06.28,  +41 14 08.0
QZ Ser,  15 56 54.5,  +21 07 20,  QZ Ser,  15 56 54.48,  +21 07 19.0
HV Aur,  04 53 16.8,  +38 16 29,  HV Aur,  04 53 16.82,  +38 16 28.7
V364 Peg,  21 12 29.7,  +12 32 04,  V364 Peg,  21 12 29.58,  +12 32 05.0
TU Crt,  11 03 36.5,  -21 37 46,  TU Crt,  11 03 36.53,  -21 37 45.5
V369 Peg,  23 03 41.8,  +17 17 56,  V369 Peg,  23 03 41.81,  +17 17 55.3
RX Cha,  10 36 26.3,  -80 02 48,  RX Cha,  10 36 26.11,  -80 02 47.9
KP Cas,  00 38 54.8,  +61 13 00,  KP Cas,  00 38 54.78,  +61 13 00.2
V1974 Cyg,  20 30 31.7,  +52 37 51,  V1974 Cyg,  20 30 31.67,  +52 37 50.8
V877 Ara,  17 16 53.9,  -65 32 52,  V877 Ara,  17 16 53.89,  -65 32 51.5
CP Dra,  10 15 39.8,  +73 26 05,  CP Dra,  10 15 39.80,  +73 26 05.1
AR UMa,  11 15 44.7,  +42 58 23,  AR UMa,  11 15 44.56,  +42 58 22.4
WW Hor,  02 36 11.5,  -52 19 14,  WW Hor,  02 36 11.39,  -52 19 13.4
AN UMa,  11 04 25.7,  +45 03 15,  AN UMa,  11 04 25.67,  +45 03 14.0
EK UMa,  10 51 35.2,  +54 04 36,  EK UMa,  10 51 35.15,  +54 04 36.1
RS Car,  11 08 05.8,  -61 56 09,  RS Car,  11 08 05.78,  -61 56 08.2
BR Lup,  15 35 53.1,  -40 34 05,  BR Lup,  15 35 53.,  -40 34 06.
ST LMi,  11 05 39.8,  +25 06 29,  ST LMi,  11 05 39.76,  +25 06 28.7
BL Hyi,  01 41 00.3,  -67 53 28,  BL Hyi,  01 41 00.24,  -67 53 28.4
MR Ser,  15 52 47.2,  +18 56 28,  MR Ser,  15 52 47.18,  +18 56 29.2
V884 Her,  18 02 06.5,  +18 04 43,  V884 Her,  18 02 06.52,  +18 04 44.9
V2301 Oph,  18 00 35.6,  +08 10 13,  V2301 Oph,  18 00 35.58,  +08 10 13.6
BZ Cir,  14 54 15.2,  -68 16 19,  BZ Cir,  14 54 15.21,  -68 16 19.2
V660 Her,  17 42 09.2,  +23 48 31,  V660 Her,  17 42 09.17,  +23 48 29.9
PV Per,  02 42 53.5,  +38 04 04,  PV Per,  02 42 53.47,  +38 04 03.3
CU Vel,  08 58 32.9,  -41 47 51,  CU Vel,  08 58 33.05,  -41 47 51.8
V359 Cen,  11 58 15.3,  -41 46 10,  V359 Cen,  11 58 15.33,  -41 46 08.4
TY Vul,  20 41 44.0,  +25 35 11,  TY Vul,  20 41 44.,  +25 35 11.
V503 Cyg,  20 27 17.4,  +43 41 23,  V503 Cyg,  20 27 17.40,  +43 41 22.7
DH Aql,  19 26 10.8,  -10 15 29,  DH Aql,  19 26 10.82,  -10 15 30.2
CD Ind,  21 15 41.0,  -58 40 54,  CD Ind,  21 15 40.97,  -58 40 53.6
AB Nor,  15 49 15.5,  -43 04 49,  AB Nor,  15 49 15.48,  -43 04 48.7
V344 Pav,  19 16 09.7,  -62 35 53,  V344 Pav,  19 16 09.58,  -62 35 53.1
HS Vir,  13 43 38.4,  -08 14 03,  HS Vir,  13 43 38.45,  -08 14 04.0
V630 Cyg,  21 34 59.2,  +40 40 19,  V630 Cyg,  21 34 59.22,  +40 40 18.7
V1113 Cyg,  19 22 42.1,  +52 44 00,  V1113 Cyg,  19 22 42.07,  +52 43 59.1
AW Gem,  07 22 40.6,  +28 30 16,  AW Gem,  07 22 40.78,  +28 30 16.5
SU UMa,  08 12 28.2,  +62 36 23,  SU UMa,  08 12 28.27,  +62 36 22.4
T  Pyx,  09 04 41.5,  -32 22 47,  T Pyx,  09 04 41.51,  -32 22 47.6
QY Per,  03 15 36.8,  +42 28 14,  QY Per,  03 15 36.8,  +42 28 15.
RZ Leo,  11 37 22.3,  +01 48 58,  RZ Leo,  11 37 22.25,  +01 48 58.6
V368 Per,  02 47 32.6,  +34 58 28,  V368 Per,  02 47 32.59,  +34 58 28.0
V893 Sco,  16 15 15.1,  -28 37 31,  V893 Sco,  16 15 14.98,  -28 37 32.1
EG Aqr,  23 25 19.2,  -08 18 19,  EG Aqr,  23 25 19.20,  -08 18 19.2
WY Tri,  02 25 00.5,  +32 59 56,  WY Tri,  02 25 00.48,  +32 59 56.1
TT Boo,  14 57 44.7,  +40 43 42,  TT Boo,  14 57 44.75,  +40 43 40.7
CE Gru,  21 37 56.4,  -43 42 13,  CE Gru,  21 37 56.43,  -43 42 13.6
FT Cam,  03 21 14.4,  +61 05 27,  FT Cam,  03 21 14.30,  +61 05 26.7
BK Lyn,  09 20 11.2,  +33 56 42,  BK Lyn,  09 20 11.21,  +33 56 42.4
WX Hyi,  02 09 50.7,  -63 18 40,  WX Hyi,  02 09 50.83,  -63 18 39.9
LY Hya,  13 31 53.8,  -29 40 59,  LY Hya,  13 31 53.86,  -29 40 59.4
BE Oct,  00 00 48.8,  -77 18 57,  BE Oct,  00 00 48.97,  -77 18 57.6
QW Ser,  15 26 14.0,  +08 18 02,  QW Ser,  15 26 13.96,  +08 18 02.3
Z  Cha,  08 07 28.2,  -76 32 01,  Z Cha,  08 07 27.77,  -76 32 00.8
VW Hyi,  04 09 11.3,  -71 17 41,  VW Hyi,  04 09 11.40,  -71 17 41.6
V663 Ara,  16 46 57.7,  -55 41 21,  V663 Ara,  16 46 57.71,  -55 41 21.2
V1316 Cyg,  20 12 13.6,  +42 45 52,  V1316 Cyg,  20 12 13.62,  +42 45 51.5
IY UMa,  10 43 57.0,  +58 07 33,  IY UMa,  10 43 56.73,  +58 07 31.9
V1251 Cyg,  21 40 54.4,  +48 39 43,  V1251 Cyg,  21 40 54.40,  +48 39 43.3
AY Lyr,  18 44 26.7,  +37 59 52,  AY Lyr,  18 44 26.69,  +37 59 52.0
HT Cas,  01 10 13.0,  +60 04 36,  HT Cas,  01 10 13.12,  +60 04 35.7
CC Cnc,  08 36 19.2,  +21 21 05,  CC Cnc,  08 36 19.15,  +21 21 05.4
DM Dra,  15 34 12.1,  +59 48 32,  DM Dra,  15 34 12.17,  +59 48 32.3
VZ Pyx,  08 59 19.9,  -24 28 55,  VZ Pyx,  08 59 19.84,  -24 28 55.3
KV And,  02 17 13.8,  +40 41 31,  KV And,  02 17 13.87,  +40 41 29.7
IL Vul,  20 38 32.7,  +22 42 17,  IL Vul,  20 38 32.72,  +22 42 16.7
OU Vir,  14 35 00.1,  -00 46 07,  OU Vir,  14 35 00.22,  -00 46 06.3
EP Dra,  19 07 06.1,  +69 08 42,  EP Dra,  19 07 06.18,  +69 08 44.2
AW Sge,  19 58 37.1,  +16 41 29,  AW Sge,  19 58 37.10,  +16 41 28.6
TU Tri,  01 39 15.3,  +31 24 19,  TU Tri,  01 39 15.74,  +31 24 15.1
V1047 Aql,  19 51 31.1,  +10 57 22,  V1047 Aql,  19 51 31.11,  +10 57 22.2
FO And,  01 15 32.1,  +37 37 36,  FO And,  01 15 32.14,  +37 37 35.6
FQ Mon,  07 16 41.2,  -06 56 49,  FQ Mon,  07 16 41.25,  -06 56 49.1
VW CrB,  16 00 03.8,  +33 11 15,  VW CrB,  16 00 03.70,  +33 11 14.1
RS Cae,  04 53 25.5,  -42 13 40,  RS Cae,  04 53 25.46,  -42 13 39.2
V834 Cen,  14 09 07.5,  -45 17 17,  V834 Cen,  14 09 07.30,  -45 17 16.2
V2527 Oph,  17 22 04.4,  -19 49 09,  V2527 Oph,  17 22 04.37,  -19 49 08.5
VV Pup,  08 15 06.7,  -19 03 17,  VV Pup,  08 15 06.78,  -19 03 17.8
CY UMa,  10 56 57.1,  +49 41 19,  CY UMa,  10 56 57.00,  +49 41 18.3
V1504 Cyg,  19 28 56.5,  +43 05 37,  V1504 Cyg,  19 28 56.45,  +43 05 37.3
RU Hor,  02 46 07.5,  -63 35 47,  RU Hor,  02 46 07.50,  -63 35 46.0
CF Gru,  21 41 23.0,  -45 04 31,  CF Gru,  21 41 22.98,  -45 04 31.4
V544 Her,  16 38 05.4,  +08 37 58,  V544 Her,  16 38 05.40,  +08 37 58.4
V1208 Tau,  04 59 44.0,  +19 26 23,  V1208 Tau,  04 59 44.03,  +19 26 23.2
V393 Pav,  19 57 11.5,  -57 38 22,  V393 Pav,  19 57 11.48,  -57 38 22.1
V368 Peg,  22 58 43.5,  +11 09 12,  V368 Peg,  22 58 43.52,  +11 09 12.3
V337 Cyg,  19 59 52.9,  +39 14 00,  V337 Cyg,  19 59 53.,  +39 14 02.
V699 Oph,  16 25 14.8,  -04 40 26,  V699 Oph,  16 25 14.79,  -04 40 25.8
IR Gem,  06 47 34.6,  +28 06 23,  IR Gem,  06 47 34.69,  +28 06 22.4
TY Psc,  01 25 39.4,  +32 23 10,  TY Psc,  01 25 39.38,  +32 23 09.1
RZ Sge,  20 03 18.5,  +17 02 53,  RZ Sge,  20 03 18.47,  +17 02 51.4
EX Hya,  12 52 24.4,  -29 14 57,  EX Hya,  12 52 24.22,  -29 14 56.0
HS Cam,  07 19 14.5,  +65 57 45,  HS Cam,  07 19 14.49,  +65 57 45.0
V1212 Tau,  03 51 57.0,  +25 25 28,  V1212 Tau,  03 51 56.97,  +25 25 27.8
KS UMa,  10 20 26.5,  +53 04 33,  KS UMa,  10 20 26.52,  +53 04 33.1
BZ UMa,  08 53 44.1,  +57 48 41,  BZ UMa,  08 53 44.17,  +57 48 40.6
SS UMi,  15 51 22.2,  +71 45 12,  SS UMi,  15 51 22.33,  +71 45 12.0
LW Cam,  07 04 09.9,  +62 03 28,  LW Cam,  07 04 09.98,  +62 03 28.3
V550 Cyg,  20 05 05.2,  +32 21 21,  V550 Cyg,  20 05 05.21,  +32 21 21.1
V701 Tau,  03 44 01.9,  +21 57 08,  V701 Tau,  03 44 01.9,  +21 57 08.4
SX LMi,  10 54 30.4,  +30 06 10,  SX LMi,  10 54 30.43,  +30 06 10.2
PU Per,  02 42 16.1,  +35 40 46,  PU Per,  02 42 16.14,  +35 40 47.4
IX Dra,  18 12 31.4,  +67 04 46,  IX Dra,  18 12 31.48,  +67 04 46.0
V551 Sgr,  18 00 56.5,  -34 35 45,  V551 Sgr,  18 00 56.5,  -34 35 45.
GO Com,  12 56 37.1,  +26 36 44,  GO Com,  12 56 37.09,  +26 36 43.5
DM Lyr,  18 58 44.4,  +30 15 33,  DM Lyr,  18 58 44.44,  +30 15 33.2
AO Oct,  21 05 08.2,  -75 21 02,  AO Oct,  21 05 08.19,  -75 21 02.5
AK Cnc,  08 55 21.2,  +11 18 15,  AK Cnc,  08 55 21.19,  +11 18 15.5
V1195 Oph,  17 00 21.7,  -20 53 34,  V1195 Oph,  17 00 21.68,  -20 53 33.8
AQ CMi,  07 14 34.8,  +08 48 06,  AQ CMi,  07 14 34.82,  +08 48 5.4
CT Hya,  08 51 07.4,  +03 08 34,  CT Hya,  08 51 07.39,  +03 08 34.3
UV Per,  02 10 08.3,  +57 11 21,  UV Per,  02 10 08.32,  +57 11 21.2
EQ Cet,  01 28 52.5,  -23 39 43,  EQ Cet,  01 28 52.52,  -23 39 43.8
V632 Cyg,  21 36 04.2,  +40 26 19,  V632 Cyg,  21 36 04.21,  +40 26 19.5
ER UMa,  09 47 11.8,  +51 54 09,  ER UMa,  09 47 11.93,  +51 54 09.0
CG CMa,  07 04 05.2,  -23 45 34,  CG CMa,  07 04 05.23,  -23 45 34.3
OY Car,  10 06 22.4,  -70 14 05,  OY Car,  10 06 22.10,  -70 14 04.7
VY Aqr,  21 12 09.2,  -08 49 37,  VY Aqr,  21 12 09.26,  -08 49 37.1
TV Crv,  12 20 24.2,  -18 27 02,  TV Crv,  12 20 24.17,  -18 27 01.9
EK TrA,  15 14 01.0,  -65 05 35,  EK TrA,  15 14 00.9,  -65 05 35.
HO Del,  20 36 55.5,  +14 03 09,  HO Del,  20 36 55.51,  +14 03 09.3
BC UMa,  11 52 15.9,  +49 14 42,  BC UMa,  11 52 15.83,  +49 14 41.9
EU UMa,  11 49 55.7,  +28 45 08,  EU UMa,  11 49 55.71,  +28 45 07.6
V347 Pav,  18 44 48.3,  -74 18 34,  V347 Pav,  18 44 48.12,  -74 18 34.1
V436 Cen,  11 14 00.1,  -37 40 49,  V436 Cen,  11 14 00.12,  -37 40 47.9
V2051 Oph,  17 08 19.1,  -25 48 31,  V2051 Oph,  17 08 19.09,  -25 48 30.8
DP Leo,  11 17 16.0,  +17 57 41,  DP Leo,  11 17 15.93,  +17 57 42.0
V1159 Ori,  05 28 59.5,  -03 33 53,  V1159 Ori,  05 28 59.55,  -03 33 52.8
V402 And,  00 11 07.3,  +30 32 36,  V402 And,  00 11 07.3,  +30 32 36.
V1141 Aql,  19 37 09.8,  +02 36 01,  V1141 Aql,  19 37 09.84,  +02 36 01.5
V611 Her,  16 44 49.4,  +19 59 40,  V611 Her,  16 44 49.43,  +19 59 40.0
CP Tuc,  23 15 19.1,  -59 10 28,  CP Tuc,  23 15 18.99,  -59 10 28.9
V4140 Sgr,  19 58 49.7,  -38 56 12,  V4140 Sgr,  19 58 49.68,  -38 56 12.4
CP Pup,  08 11 46.0,  -35 21 06,  CP Pup,  08 11 46.06,  -35 21 05.0
XZ Eri,  04 11 25.8,  -15 23 24,  XZ Eri,  04 11 25.78,  -15 23 23.6
AQ Eri,  05 06 13.0,  -04 08 07,  AQ Eri,  05 06 13.08,  -04 08 07.9
UZ Boo,  14 44 01.3,  +22 00 56,  UZ Boo,  14 44 01.21,  +22 00 54.8
V1028 Cyg,  20 00 56.6,  +56 56 37,  V1028 Cyg,  20 00 56.43,  +56 56 37.3
KX Aql,  19 33 53.7,  +14 17 47,  KX Aql,  19 33 53.64,  +14 17 46.1
RX Vol,  08 39 32.3,  -66 17 39,  RX Vol,  08 39 32.16,  -66 17 39.0
V1040 Cen,  11 55 27.1,  -56 41 53,  V1040 Cen,  11 55 26.72,  -56 41 52.0
VX For,  03 26 45.7,  -34 26 25,  VX For,  03 26 45.72,  -34 26 24.6
MM Sco,  17 30 45.3,  -42 11 41,  MM Sco,  17 30 45.23,  -42 11 41.6
V496 Aur,  07 27 52.3,  +40 46 54,  V496 Aur,  07 27 52.20,  +40 46 55.5
CI UMa,  10 18 13.0,  +71 55 43,  CI UMa,  10 18 13.12,  +71 55 44.2
DW Cnc,  07 58 53.1,  +16 16 45,  DW Cnc,  07 58 53.03,  +16 16 45.2
HT Cam,  07 57 01.3,  +63 06 01,  HT Cam,  07 57 01.37,  +63 06 01.8
FS Aur,  05 47 48.3,  +28 35 11,  FS Aur,  05 47 48.36,  +28 35 11.2
EL UMa,  10 55 07.0,  +36 59 46,  EL UMa,  10 55 07.00,  +36 59 45.7
GQ Mus,  11 52 02.5,  -67 12 20,  GQ Mus,  11 52 02.48,  -67 12 20.1
EN Cet,  00 27 28.0,  -01 08 28,  EN Cet,  00 27 28.01,  -01 08 28.5
V591 Cen,  12 42 18.0,  -33 34 07,  V591 Cen,  12 42 18.10,  -33 34 10.4
V585 Lyr,  19 13 58.4,  +40 44 09,  V585 Lyr,  19 13 58.43,  +40 44 10.3
RW UMi,  16 47 54.8,  +77 02 12,  RW UMi,  16 47 54.78,  +77 02 12.2
DV Dra,  18 17 23.1,  +50 48 18,  DV Dra,  18 17 23.10,  +50 48 18.1
FL TrA,  16 30 36.6,  -61 50 21,  FL TrA,  16 30 36.61,  -61 50 21.0
EG Cnc,  08 43 04.0,  +27 51 50,  EG Cnc,  08 43 03.99,  +27 51 49.7
V1025 Cen,  12 38 16.5,  -38 42 46,  V1025 Cen,  12 38 16.38,  -38 42 46.0
KV Dra,  14 50 38.3,  +64 03 28,  KV Dra,  14 50 38.31,  +64 03 28.4
CC Scl,  23 15 31.9,  -30 48 46,  CC Scl,  23 15 31.91,  -30 48 47.5
RZ LMi,  09 51 49.0,  +34 07 25,  RZ LMi,  09 51 48.93,  +34 07 23.9
WX Cet,  01 17 04.2,  -17 56 23,  WX Cet,  01 17 04.18,  -17 56 22.6
V1186 Sco,  17 12 51.3,  -30 56 38,  V1186 Sco,  17 12 51.28,  -30 56 37.6
MM Hya,  09 14 14.0,  -06 47 45,  MM Hya,  09 14 14.03,  -06 47 44.8
DO Vul,  19 52 10.7,  +19 34 43,  DO Vul,  19 52 10.7,  +19 34 43.
HV Vir,  13 21 03.2,  +01 53 29,  HV Vir,  13 21 03.16,  +01 53 29.1
SW UMa,  08 36 42.8,  +53 28 38,  SW UMa,  08 36 42.74,  +53 28 38.1
GR Ori,  05 21 35.0,  +01 10 10,  GR Ori,  05 21 35.32,  +01 10 12.2
PU CMa,  06 40 47.7,  -24 23 14,  PU CMa,  06 40 47.68,  -24 23 13.9
WZ Sge,  20 07 36.4,  +17 42 15,  WZ Sge,  20 07 36.41,  +17 42 15.4
AL Com,  12 32 25.9,  +14 20 43,  AL Com,  12 32 25.80,  +14 20 42.3
V1454 Cyg,  19 53 38.5,  +35 21 46,  V1454 Cyg,  19 53 38.45,  +35 21 45.8
EF Eri,  03 14 13.0,  -22 35 41,  EF Eri,  03 14 13.26,  -22 35 43.3
PQ And,  02 29 29.5,  +40 02 39,  PQ And,  02 29 29.54,  +40 02 40.2
PT And,  00 40 24.4,  +41 04 03,  PT And,  00 40 24.35,  +41 04 03.1
CI Gru,  21 33 06.8,  -42 28 52,  CI Gru,  21 33 06.85,  -42 28 52.0
HV And,  00 40 55.3,  +43 24 59,  HV And,  00 40 55.41,  +43 24 59.4
V592 Her,  16 30 56.5,  +21 16 58,  V592 Her,  16 30 56.45,  +21 16 58.4
SS LMi,  10 34 05.9,  +31 08 00,  SS LMi,  10 34 05.43,  +31 08 08.3
FH UMa,  10 47 09.9,  +63 35 14,  FH UMa,  10 47 09.93,  +63 35 13.1
GG Leo,  10 15 34.7,  +09 04 42,  GG Leo,  10 15 34.67,  +09 04 42.0
V2176 Cyg,  19 27 11.6,  +54 17 52,  V2176 Cyg,  19 27 11.72,  +54 17 50.9
EV UMa,  13 07 53.9,  +53 51 30,  EV UMa,  13 07 53.87,  +53 51 30.6
LL And,  00 41 51.5,  +26 37 21,  LL And,  00 41 51.46,  +26 37 21.3
SV Ari,  03 25 03.4,  +19 49 53,  SV Ari,  03 25 03.34,  +19 49 52.9
V358 Lyr,  18 59 33.0,  +42 24 12,  V358 Lyr,  18 59 32.95,  +42 24 12.2
V844 Her,  16 25 01.7,  +39 09 27,  V844 Her,  16 25 01.75,  +39 09 26.4
DI UMa,  09 12 16.2,  +50 53 55,  DI UMa,  09 12 16.19,  +50 53 53.9
BW Scl,  23 53 00.7,  -38 51 46,  BW Scl,  23 53 00.82,  -38 51 46.0
PR Her,  18 08 04.4,  +38 46 17,  PR Her,  18 08 04.45,  +38 46 17.5
V4738 Sgr,  20 22 37.5,  -39 54 13,  V4738 Sgr,  20 22 37.53,  -39 54 12.8
CV Hyi,  01 32 42.0,  -65 54 32,  CV Hyi,  01 32 42.07,  -65 54 32.5
UW Tri,  02 45 17.3,  +33 31 26,  UW Tri,  02 45 17.29,  +33 31 26.3
GW Lib,  15 19 55.5,  -25 00 25,  GW Lib,  15 19 55.43,  -25 00 25.3
V574 Pup,  07 41 53.6,  -27 06 38,  V574 Pup,  07 41 53.56,  -27 06 38.1
V396 Hya,  13 12 46.9,  -23 21 31,  V396 Hya,  13 12 46.44,  -23 21 32.7
EI Psc,  23 29 54.3,  +06 28 11,  EI Psc,  23 29 54.21,  +06 28 11.6
V485 Cen,  12 57 23.3,  -33 12 07,  V485 Cen,  12 57 23.22,  -33 12 05.6
GP Com,  13 05 42.9,  +18 01 03,  GP Com,  13 05 42.41,  +18 01 04.0
CP Eri,  03 10 32.8,  -09 45 05,  CP Eri,  03 10 32.75,  -09 45 06.1
V803 Cen,  13 23 44.5,  -41 44 30,  V803 Cen,  13 23 44.54,  -41 44 29.7
KL Dra,  19 24 38.3,  +59 41 47,  KL Dra,  19 24 38.1,  +59 41 46.
CR Boo,  13 48 55.3,  +07 57 35,  CR Boo,  13 48 55.22,  +07 57 35.7
HP Lib,  15 35 53.1,  -14 13 12,  HP Lib,  15 35 53.10,  -14 13 12.1
AM CVn,  12 34 54.6,  +37 37 43,  AM CVn,  12 34 54.63,  +37 37 44.2
ES Cet,  02 00 52.2,  -09 24 32,  ES Cet,  02 00 52.24,  -09 24 31.6
V407 Vul,  19 14 26.1,  +24 56 43,  V407 Vul,  19 14 26.07,  +24 56 43.3
J2044-0459,  20 44 48.9,  -04 59 29,  Aqr,  20 44 48.92,  -04 59 28.8
AKO 9,  00 24 04.8,  -72 04 55,  Tuc,  00 24 03.66,  -72 05 04.5
V2731 Oph,  17 30 21.9,  -05 59 32,  Oph,  17 30 21.90,  -05 59 32.1
V479 And,  00 18 56.9,  +34 54 44,  And,  00 18 56.93,  +34 54 44.3
J1951+3716,  19 51 47.5,  +37 16 48,  Cyg,  19 51 47.49,  +37 16 47.8
NGC 6397-CV1,  17 40 41.6,  -53 40 19,  Ara,  17 40 40.93,  -53 40 25.2
0928+5004,  09 32 14.9,  +49 50 54,  UMa6,  09 32 14.82,  +49 50 54.8
NY Lup,  15 48 14.6,  -45 28 40,  Lup,  15 48 14.59,  -45 28 40.5
J2256-2743,  22 56 47.8,  -27 43 25,  PsA,  22 56 47.85,  -27 43 25.1
J1836-2354,  18 36 24.7,  -23 54 36,  Sgr,  18 36 24.66,  -23 54 35.5
J1413-6520,  14 13 12.2,  -65 20 14,  Cir,  14 13 12.3,  -65 20 13.0
J2133+5107,  21 33 43.7,  +51 07 25,  Cyg,  21 33 43.65,  +51 07 24.5
FH Lyn,  08 13 21.9,  +45 28 10,  Lyn,  08 13 21.92,  +45 28 09.4
2347-3144,  23 50 30.5,  -31 27 34,  Scl,  23 50 30.62,  -31 27 33.6
LY UMa,  10 48 18.0,  +52 18 30,  UMa5,  10 48 18.02,  +52 18 29.8
NGC 104-W2,  00 24 15.6,  -72 04 36,  Tuc,  00 24 15.63,  -72 04 36.3
M 5-V101,  15 18 14.5,  +02 05 35,  Ser,  15 18 14.46,  +02 05 35.2
NGC 104-W1,  00 24 16.7,  -72 04 27,  Tuc,  00 24 15.63,  -72 04 36.3
NGC 6397-CV6,  17 40 49.0,  -53 39 49,  Ara,  17 40 48.95,  -53 39 48.9
DM Cap,  21 54 11.1,  -09 01 22,  Cap,  21 54 11.13,  -09 01 21.7
NGC 104-W120,  00 24 10.8,  -72 06 20,  Tuc,  00 24 10.81,  -72 06 19.9
NGC 6752-CV1,  19 10 52.1,  -59 58 01,  Pav,  19 10 51.94,  -59 58 01.5
J0816+4530,  08 16 10.8,  +45 30 10,  Lyn,  08 16 10.83,  +45 30 10.2
J0900+4301,  09 00 16.6,  +43 01 18,  Lyn,  09 00 16.56,  +43 01 18.2
V495 Hya,  08 44 00.1,  +02 39 19,  Hya,  08 44 00.10,  +02 39 19.3
J0808+3131,  08 08 46.2,  +31 31 06,  Cnc,  08 08 46.19,  +31 31 06.0
J0911+0841,  09 11 27.4,  +08 41 41,  Cnc,  09 11 27.36,  +08 41 40.7
MU Cam,  06 25 16.2,  +73 34 40,  Cam,  06 25 16.18,  +73 34 39.2
NGC 104-CV3,  00 24 06.2,  -72 04 43,  Tuc,  00 24 04.94,  -72 04 46.6
HM Leo,  09 38 37.0,  +07 14 55,  Leo7,  09 38 36.98,  +07 14 55.1
