 FI Cas, 00 06 09.96, +55 58 50.7,-21,5, -0.0048,5,2000,117,-6, ugSS, , , , 15.0p-18.5p, 2004-106, 2004-106, 1987-04/T00000, 1987-04, 2000-01S, , 230.1940, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 06 09.96+++55 58 50.7&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 03.07, -72 04 47.5, , , , , ,306,-45, cv, , , G, 23.4w-, 2003-78, , 2003-78, A9999-99*, , , NGC 104-W49, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 03.07++-72 04 47.5&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 03.41, -72 04 58.9, , , , , ,306,-45, cv, , , G, 23.2V-, 2003-78, , 2003-78, 2003-78, , , NGC 104-W44, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 03.41++-72 04 58.9&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 03.52, -72 04 22.9, , , , , ,306,-45, cv, , , G, 21.9V-, 2003-78, , 2003-78, 2003-78*, , , NGC 104-W45, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 03.52++-72 04 22.9&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 03.66, -72 05 04.5, , , , , ,306,-45, cv:, , , G, -, 2002-57*, , 2002-57, 2002-57, , , NGC 104 CV, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 03.66++-72 05 04.5&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 03.78, -72 06 21.9, , , , , ,306,-45, cv, , , G, 19.0w-, 2003-78, , 2003-78, 2003-79, , , NGC 104-W122, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 03.78++-72 06 21.9&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 04.61, -72 06 06.0, , , , , ,306,-45, cv:, , , G, 24.1V-, 2001-111, , 2001-111, 2002-91, , , NGC 104 WF4-V16, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 04.61++-72 06 06.0&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 05.00, -72 05 06.5, , , , , ,306,-45, cv:, , , G, 21.1w-, 2003-78, , 2003-78, A9999-99*, , , NGC 104-W35, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 05.00++-72 05 06.5&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 05.14, -72 04 21.5, , , , , ,306,-45, cv, , , G, 21.4V-, 2003-78, , 2003-78, 2003-78, , , NGC 104-W33, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 05.14++-72 04 21.5&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 05.24, -72 04 51.1, , , , , ,306,-45, cv:, , , G, 19.9U- , 1997-44, , 1996-26, , , , NGC 104 Edmonds V7, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 05.24++-72 04 51.1&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 05.61, -72 05 04.6, , , , , ,306,-45, cv:, , , G, 22.8w-, 2003-78, , 2003-78*, A9999-99*, , , NGC 104-W31, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 05.61++-72 05 04.6&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
